id,legacy_customer_id,company_name,site_nickname,site_number,mailing_address,mailing_city,mailing_state,mailing_zip,primary_contact_email,primary_contact_name,primary_contact_phone,secondary_contact_email,secondary_contact_name,secondary_contact_phone,service_tier,system_platform,has_active_contracts,total_contract_value,primary_technician_id,secondary_technician_id,best_arrival_time,access_notes,site_hazards,special_instructions,created_at,updated_at,created_by,updated_by,last_job_numbers,last_visit_by,last_visit_date,site_experience,handoff_notes,best_arrival_times,poc_name,poc_phone,poc_available_hours,backup_contact,access_approach,common_access_issues,scheduling_notes,completion_status,commissioning_notes,known_issues,documentation_score,original_team_contact,original_team_role,original_team_info,when_to_contact_original,contract_number,contract_status,latest_contract_email
07c44212-335d-4374-bf49-640cc0809623,755,FLEMINGTON-RARITAN REG SCHL DIST (ESCNJ),FLEMINGTON-RARITAN REG SCHL DIST (ESCNJ),,50 COURT STREET,FLEMINGTON,NJ,8822,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
082bd714-c122-4c96-a7a8-6c9d0a57840d,74,BERNARDS TOWNSHIP B.O.E. (ESCNJ),BERNARDS TOWNSHIP B.O.E. (ESCNJ),,101 PEACHTREE ROAD,BASKING RIDGE,NJ,7920,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0854c65d-0cca-4d70-afe8-be1b111fa14f,187,DONNELLY MECHANICAL CORP.,DONNELLY MECHANICAL CORP.,,96-59 222ND STREET,QUEENS VILLAGE,NY,11429,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
08837775-0b8c-404a-8efe-458d1ba11362,992,BOROUGH OF RUTHERFORD,BOROUGH OF RUTHERFORD,,176 PARK AVE,RUTHERFORD,NJ,7070,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
09948389-b849-4837-ad54-26d8ffa98956,791,CropOne,CropOne,,725 MAIN STREET,MILLIS-CLICQUOT,MA,2054,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0aa4308e-6f55-45a1-865b-eff76288f9fb,775,"CUSHMAN & WAKEFIELD, INC. (FISERV)","CUSHMAN & WAKEFIELD, INC. (FISERV)",,575 MARYVILLE CENTRE DRIVE,TOWN AND COUNTRY,MO,63141,,,,,,,CORE,,true,30691.80,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,22-031022-650NY; 23-0140423-650NY,active; expired,
0af889d8-52e8-4da0-a844-2eac403e0c83,875,DOBBS FERRY UFSD (ED-DATA),DOBBS FERRY UFSD (ED-DATA),,505 BROADWAY,DOBBS FERRY,NY,10522,,,,,,,CORE,,true,10661.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,24-0207-505NY; 24-0524-DFNJ; 25-0516-DFNJ,active; expired,
0bbd4ce3-1b57-48e5-86a6-76379970892f,20,7 AND 9 ROSZEL ROAD LLC,7 AND 9 ROSZEL ROAD LLC,,"C/O CBRE, INC.",PRINCETON,NJ,08540-6287,gregory.ginis@cbre.com,,,,,,CORE,,true,9938.00,,,,,,,2025-09-23 00:43:14.58878+00,2025-09-23 00:43:14.58878+00,,,,,,,,,,,,,,,,,,,0,,,,,22-042022-79NJ-B7,active,gregory.ginis@cbre.com
0c4f1753-0283-405d-a650-ba9787478e9d,241,FIRST GOAL HEATING & COOLING,FIRST GOAL HEATING & COOLING,,271 EAST BLACKWELL ST,DOVER,NJ,7801,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0cbcb015-5595-4f63-9762-9e96405eb357,929,"ENERGY TRANSFER SOLUTIONS, LLC","ENERGY TRANSFER SOLUTIONS, LLC",,"1220 WARD AVE, SUITE 300",WEST CHESTER,PA,19380,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0df0f62a-c0df-4638-980a-e7674aad9f0d,198,EAST CONSTRUCTION CORP.,EAST CONSTRUCTION CORP.,,28 CLIFF AVE.,YONKERS,NY,10705,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
0fd6ed7b-2d04-4d2f-af2e-fac8071bc627,1002,AME INC 1,AME INC 1,,1275 Bloomfield Ave STE 17B BLDG 2,Fairfield,NJ,7004,steve@ame-inc.com,,,,,,CORE,,true,25000.00,,,,,,,2025-09-23 00:43:14.58878+00,2025-09-23 00:43:14.58878+00,,,,,,,,,,,,,,,,,,,0,,,,,2025-1,active,steve@ame-inc.com
10115c0b-3d63-455b-a866-746ff2ca7d97,213,ENCON MECHANICAL,ENCON MECHANICAL,,P.O. BOX 2293,OCEAN TOWNSHIP,NJ,7712,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
109a376b-f3da-469d-868a-f8d9bc87ecbd,1023,"JOHN WILEY & SONS, INC.","JOHN WILEY & SONS, INC.",,111 RIVER STREET,HOBOKEN,NJ,7030,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
10a7422a-2465-42c5-9371-abf5ff542523,153,CORE FACILITIES SERVICES LLC.,CORE FACILITIES SERVICES LLC.,,150 EAST 42ND STREET 7TH FLOOR,NEW YORK,NY,10017,,,,,,,CORE,,true,64139.60,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,23-071223-620NJ; 23-072822-32NJ,active; expired,
10c463f1-c784-4934-b773-49a6e60b456e,856,CARL WALKER CONSTRUCTION,CARL WALKER CONSTRUCTION,,935 VISTA DRIVE,PITTSBURGH,PA,15205,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
120a818c-4f87-48a0-abe9-fcee5475b243,262,GILBANE BUILDING CO.,GILBANE BUILDING CO.,,"120 ALBANY ST., SUITE 301",NEW BRUNSWICK,NJ,8901,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
127d7df8-4698-4cb9-a8bc-66ac92b9f803,314,INROADS TECHNOLOGY,INROADS TECHNOLOGY,,2 Sheraton Plaza,Ho-Ho-Kus,NJ,7423,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1322f214-c96b-4a6e-a52b-e1da06f87432,320,JA-MAR AIR CONDITIONING & HEATING,JA-MAR AIR CONDITIONING & HEATING,,52 WEST BLACKWELL STREET,DOVER,NJ,7801,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
13619a14-1934-437f-b4f0-45a9250640aa,737,AMNEAL PHARMACEUTICALS,AMNEAL PHARMACEUTICALS,,1 NEW ENGLAND AVENUE,PISCATAWAY,NJ,8854,priyeshkumar.shah@amneal.com,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1430ff3c-5ef9-4677-8c5c-b8c4380cdaec,210,EMERSON BOARD OF EDUCATION (ESCNJ),EMERSON BOARD OF EDUCATION (ESCNJ),,133 MAIN STREET,EMERSON,NJ,7630,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
144bc13c-1753-45e2-ae61-e0ef11139167,78,BLOOMFIELD BOARD OF EDUCATION,BLOOMFIELD BOARD OF EDUCATION,,155 BROAD STREET,BLOOMFIELD,NJ,7003,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1555bfd2-6ae0-424d-b718-21b378ad8a52,177,DELAWARE TOWNSHIP B.O.E. (ESCNJ),DELAWARE TOWNSHIP B.O.E. (ESCNJ),,501 ROSEMONT-RINGOES ROAD,SEGEANTSVILLE,NJ,8857,jmunsey@dtsk8nj.org,,,,,,CORE,,true,3964.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,23-020623-501NJ; 24-0208-501NJ,active; expired,jmunsey@dtsk8nj.org
173c3b77-f058-491b-aa98-30c93dd2629a,979,"ASCENDIA PHARMACEUTICALS, INC.","ASCENDIA PHARMACEUTICALS, INC.",,661 US-1,NORTH BRUNSWICK,NJ,8902,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
175ef4a7-dbb9-48d6-9271-3f6349e7ca21,72,BENMAR AIR CONDITIONING LLC,BENMAR AIR CONDITIONING LLC,,65 CLIFTON BOULEVARD,CLIFTON,NJ,7015,,,,,,,CORE,,true,4975.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,25-0213-1401NJ-1LE,active,
17928296-8693-49c9-84b3-142f8498ed2c,182,DLS MECHANICAL & MAINTENANCE CORP,DLS MECHANICAL & MAINTENANCE CORP,,275 JERICHO TURNPIKE,FLORAL PARK,NY,11001,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
17cdff0c-4ca7-4208-b587-fbac32afb4ca,1050,BROOKLYN BOTANIC GARDEN,BROOKLYN BOTANIC GARDEN,,1000 WASHINGTON AVENUE C/O GARDINER & THEOBALD INC. (G&T),BROOKLYN,NY,11225,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
18ca4362-f6bd-4b60-9171-110ed6418c75,804,"EAST 77TH OWNERS, INC.","EAST 77TH OWNERS, INC.",,435 EAST 77TH STREET,NEW YORK,NY,10075,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
19021371-0185-4a35-ab75-80ca94eb587c,180,DELL-TECH INC.,DELL-TECH INC.,,930 NEW YORK AVE.,TRENTON,NJ,8638,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1a762c44-9a29-4e0f-a5f3-89f713c699a8,100,BRONX HEALTHCARE,BRONX HEALTHCARE,,1650 GRAND CONCOURSE,BRONX,NY,10457,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1c78bf79-85b2-4226-8490-b69fbeeaad85,172,D.P.  WOLFF INC.,D.P.  WOLFF INC.,,"2 WESTCHESTER PLAZA, SUITE 160",ELMSFORD,NY,10523,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1d785481-5d54-4090-ac51-dc17fc8b4e6e,832,GARDNER PUBLIC SCHOOLS,GARDNER PUBLIC SCHOOLS,,95 PLEASANT STREET,GARDNER,MA,1440,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1d8639e2-43b4-4e06-a2f2-f981d69b69d8,286,HARBOUR MECHANICAL CORP.,HARBOUR MECHANICAL CORP.,,1332 CLINTON STREET,HOBOKEN,NJ,7030,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
1ec6c624-9946-4101-ab37-f00ef94f9d9c,38,AIR SYSTEMS MAINTENANCE INC.,AIR SYSTEMS MAINTENANCE INC.,,718 JEFFERSON AVENUE,KENILWORTH,NJ,7033,,,,,,,CORE,,true,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,24-0223-777NY,expired,
21301431-3e88-423c-897b-42b6d8d6fcfe,148,COMPUTERCOOL ICEAGE MECHANICAL CORP,COMPUTERCOOL ICEAGE MECHANICAL CORP,,58-75 57TH ROAD,MASPETH,NY,11378,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
217c9764-f946-4651-a762-0ea30367570a,113,"C. DOUGHERTY & CO., INC.","C. DOUGHERTY & CO., INC.",,7 WASHINGTON AVE.,PATERSON,NJ,7503,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
21ebf304-9220-41d4-95d8-f4d69b2093e3,964,CHUGACH CONSOLIDATED SOLUTIONS LLC,CHUGACH CONSOLIDATED SOLUTIONS LLC,,"3800 CENTERPOINT DR, SUITE #800",ANCHORAGE,AK,99503,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
22c45b41-501c-4159-afb5-07c669aa020e,79,BLOOMFIELD JOINT VENTURE,BLOOMFIELD JOINT VENTURE,,76 SOUTH ORANGE AVENUE,SOURTH ORANGE,NJ,7079,cary@symhellerdev.com,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,22-040422-650NJ,expired,
23295cde-00da-4162-93c0-38ff585487ac,223,"EPIC MECHANICAL CONTRACTORS, LLC","EPIC MECHANICAL CONTRACTORS, LLC",,76-78 MALL DRIVE,COMMACK,NY,11725,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:06:48.926422+00,2025-09-23 01:06:48.926422+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
23ceeccc-9ace-4f2c-937d-b90277e35084,251,FREDON TOWNSHIP B.O.E. (ESCNJ),FREDON TOWNSHIP B.O.E. (ESCNJ),,459 ROUTE 94,NEWTON,NJ,7860,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
246e7b1d-7a96-49ca-ad4b-696cee9a6bfa,11,"220 CAP, LLC","220 CAP, LLC",,260 CENTENNIAL AVE.,PISCATAWAY,NJ,8854,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
2570cc67-2f0d-4755-ad31-4ec5272b18ad,766,"CCI CONSTRUCTION, INC.","CCI CONSTRUCTION, INC.",,70 CHESTNUT RIDGE ROAD,MONTVALE,NJ,7645,www.cci-construction.com,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
26c258ab-4d69-4652-b275-03f2bcc5e103,5,10 SULLIVAN STREET CONDOMINIUM,10 SULLIVAN STREET CONDOMINIUM,,C/O SOLSTICE RESIDENTIAL GROUP LLC,NEW YORK,NY,10004,jimmy10sullivan@gmail.com,,,,,,CORE,,true,5407.00,,,,,,,2025-09-23 00:43:14.58878+00,2025-09-23 00:43:14.58878+00,,,,,,,,,,,,,,,,,,,0,,,,,23-021323-10NY,active,jimmy10sullivan@gmail.com
283a74a0-f5b5-48ef-95bb-7e27d8e4491d,827,35 WEST 36TH STREET CONDOMINIUM,35 WEST 36TH STREET CONDOMINIUM,,35 WEST 36TH STREET,NEW YORK,NY,10018,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
2ab2b145-64bd-477e-8b00-cab88e7cdcec,169,CWP- NYC PROPERTY MGT SERVICES,CWP- NYC PROPERTY MGT SERVICES,,787 SEVENTH AVENUE,NEW YORK,NY,10019,pnaughton@cwp-ms.com,,,,,,CORE,,true,34900.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,23-120122-787NY,active,pnaughton@cwp-ms.com
2e77c227-d194-4370-ab18-482a03af756c,1048,"CORPORATE COMMONS THREE, LLC","CORPORATE COMMONS THREE, LLC",,1110 SOUTH AVE,STATEN ISLAND,NY,10314,,,,,,,CORE,,true,27530.16,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,25-0428-1441NY-3LE,active,
2eadbdc9-74c5-4a9e-8702-b9f830ea9c1c,58,BELL WORKS,BELL WORKS,,101 CRAWFORDS CORNER ROAD,HOLMDEL,NJ,7733,facilities@bellworks.com,,,,,,GUARDIAN,,true,125000.00,,,,,,,2025-09-23 00:43:14.58878+00,2025-09-23 00:43:14.58878+00,,,,,,,,,,,,,,,,,,,0,,,,,23-040123-101NJ,active,facilities@bellworks.com
2f32f6b1-4bf1-483b-bd0b-06ea79e40ac3,10,2 RECTOR STREET(NY)LLC,2 RECTOR STREET(NY)LLC,,"JLL MANAGEMENT OFFICE,",NEW YORK,NY,10006,christopher.gildea@am.jll.com,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,22-050122-101NY,expired,
2f53a89c-ddb3-45ef-b25c-493fa967b0c4,951,FRANKLIN BOROUGH BOARD OF EDUCATION,FRANKLIN BOROUGH BOARD OF EDUCATION,,50 WASHINGTON AVE,FRANKLIN,NJ,7416,,,,,,,CORE,,true,18480.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,24-0506-50NJ; 25-0506-50NJ,active; expired,
3162c848-3e8b-4925-998e-2fa895e2afd4,301,HOWELL BOARD OF EDUCATION (ESCNJ),HOWELL BOARD OF EDUCATION (ESCNJ),,3026 YELLOW BROOK ROAD,FARMINGDALE,NJ,7727,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:12:07.559888+00,2025-09-23 01:12:07.559888+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
31846b43-03b1-472f-bc3e-51e2370c5352,811,"COASTAL AIR CONDITIONING, INC.","COASTAL AIR CONDITIONING, INC.",,6 PHYLLIS STREET,HAZLET,NJ,7730,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
322bcb50-0daf-4a85-b09e-71e87150c6da,1064,Clayco Inc.,Clayco Inc.,,2398 East Camelback Road,Phoenix,AZ,85016,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
335284c6-65dc-46f0-a345-87aad4ed5c1a,902,ALEXANDRIA TOWNSHIP BOE (ESCNJ),ALEXANDRIA TOWNSHIP BOE (ESCNJ),,557 COUNTY ROAD 513,PITTSTOWN,NJ,8867,,,,,,,CORE,,true,5071.50,,,,,,,2025-09-23 00:43:14.58878+00,2025-09-23 00:43:14.58878+00,,,,,,,,,,,,,,,,,,,0,,,,,23-1212-557NJ,active,
3458584a-cb56-45bf-bb52-725c46cf660f,224,"EPIC MECHANICAL, INC.","EPIC MECHANICAL, INC.",,3320 ROUTE 66,NEPTUNE,NJ,7753,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
350518b4-ad31-4ef1-8c45-2a974bd98514,56,ATLANTIC CITY ELECTRIC COMPANY,ATLANTIC CITY ELECTRIC COMPANY,,92 PEOPLES PLAZA,NEWARK,DE,19702,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:43:14.58878+00,2025-09-23 00:43:14.58878+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
369351df-4071-4899-b0bc-6f0bc6a45116,849,HAMILTON TOWNSHIP BOE (ESCNJ),HAMILTON TOWNSHIP BOE (ESCNJ),,90 PARK AVENUE,HAMILTON,NJ,8690,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
3899fe8c-f70a-4809-9e83-83452933800e,9,180 RIVER JV LLC,180 RIVER JV LLC,,"c/o SAXUM REAL ESTATE - 359 SPRINGFIELD AVE, FL. 2",SUMMIT,NJ,7901,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:54:18.245539+00,2025-09-23 00:54:18.245539+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
38ea5906-cc32-4640-a2b2-9dd8363f981a,967,"ESTOCK PIPING CO., LLC","ESTOCK PIPING CO., LLC",,569 CHESTERFIELD-ARNEYTOWN ROAD,CHESTERFIELD,NJ,8515,,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 01:09:10.612937+00,2025-09-23 01:09:10.612937+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
3a1cdd31-af59-4107-9d7e-925160c2aefc,874,CRESSKILL BOARD OF EDUCATION (ESCNJ),CRESSKILL BOARD OF EDUCATION (ESCNJ),,15 BROOKSIDE AVE,CRESSKILL,NJ,7626,tschillaci@cresskillnj.net,,,,,,CORE,,false,0.00,,,,,,,2025-09-23 00:58:17.545531+00,2025-09-23 01:05:10.444587+00,,,,,,,,,,,,,,,,,,,0,,,,,,,
