Task_ID,Task_Name,System_Family,Vendor_Flavor,Phase,Service_Tiers,Frequency,Estimated_Duration_min,Audience_Level,Initial_Steps,SOP_Refs,Acceptance_Criteria,Artifacts,Prerequisites,Tools_Required,Safety_Tags,Reference_Links,Notes,Owner,Last_Updated,Version
A003,Valve & Actuator Testing,Niagara,,Prep,ASSURE,,,2," • Plan testing to minimize disruption
 • 2. Override output to 0% (closed)
 • 3. Verify physical closure
 • 4. Override to 50% and verify",SOP_A003,Task completes without errors; customer briefed; notes updated,,C005,"Workbench, Radio/phone for coordination","Coordinate with facility personnel
Verify fail-safe operation",,,,2025-08-26,v2.2
A004,Control Loop Performance,Niagara,,Prep,ASSURE,,,2," • Identify critical control loops
 • 2. Review current PID settings
 • a) P-gain for response
 • c) D-time if required",SOP_A004,Task completes without errors; customer briefed; notes updated,,C004,"Workbench, Trending tools, Tuning guide",Monitor system stability during tuning changes,,,,2025-08-26,v2.2
A005,History Database Maintenance,Niagara,,Prep,ASSURE,,,2," • Check history database size
 • 2. Review retention policies
 • 4. Clear old records per policy
 • 5. Verify space recovered",SOP_A005,Task completes without errors; customer briefed; notes updated,,C001,"Workbench, External storage",Verify critical history data is backed up before purging,"EC‑Net 4 Histories Guide (Niagara 4 derivative): https://docs-be.distech-controls.com/bundle/Histories-EC-Net4_UG/raw/resource/enus/Histories%20EC-Net4_UG.pdf | Video – Export Niagara 4 Histories to CSV: https://www.youtube.com/watch?v=mjLNOBrE2bo | Niagara Forum Tech Troubleshooting (Engine Hogs, ~6000 histories): https://www.tridium.com/content/dam/tridium/en/documents/niagara-forum-2023/NF23-Technical-Troubleshooting-Niagara.pdf",,,2025-08-26,v2.2
A006,Security Certificate Check,Niagara,,Deep_Dive,ASSURE,Annually,,2," • 5. Check allowed hosts list
 • 7. Test secure connections",SOP_A006,No default/unused accounts; strong password policy enforced; lockout tested,,C007,"Workbench, Certificate documentation",Maintain secure communications during certificate updates,Niagara 4 Hardening Guide (2025): https://www.tridium.com/content/dam/tridium/en/documents/document-lists/niagara/tri-Niagara4-Hardening-Guide-en-2025.pdf | Passphrase reset/how‑to (Niagara 4): https://help.onesight.solutions/kb/niagara4-passphrase-reset-windows/,,,2025-08-26,v2.2
A007,Energy Trend Analysis,Niagara,,Prep,ASSURE,,,2," • 2. Compare to previous periods
 • 3. Identify unusual patterns
 • 6. Review setback effectiveness
 • 7. Calculate efficiency metrics",SOP_A007,Task completes without errors; customer briefed; notes updated,,A005,"Workbench, Spreadsheet software",Consider building occupancy when analyzing energy patterns,"EC‑Net 4 Histories Guide (Niagara 4 derivative): https://docs-be.distech-controls.com/bundle/Histories-EC-Net4_UG/raw/resource/enus/Histories%20EC-Net4_UG.pdf | Video – Export Niagara 4 Histories to CSV: https://www.youtube.com/watch?v=mjLNOBrE2bo | Niagara Forum Tech Troubleshooting (Engine Hogs, ~6000 histories): https://www.tridium.com/content/dam/tridium/en/documents/niagara-forum-2023/NF23-Technical-Troubleshooting-Niagara.pdf",,,2025-08-26,v2.2
G001,PID Loop Tuning & Optimization,Niagara,,Deep_Dive,GUARDIAN,,,2," • Identify loops for optimization
 • 2. Document current parameters
 • 3. Implement systematic tuning:
 • a) Set I and D to minimum",SOP_G001,Task completes without errors; customer briefed; notes updated,,A004,"Workbench, Tuning software, Reference guides",Monitor critical parameters during tuning process,,,,2025-08-26,v2.2
G002,Advanced Analytics Configuration,Niagara,,Prep,GUARDIAN,,,2," • Review existing analytics rules
 • 2. Check rule performance/accuracy
 • 4. Add new FDD rules:
 • a) Simultaneous heating/cooling",SOP_G002,Task completes without errors; customer briefed; notes updated,,A007,"Workbench, Analytics module",Verify analytics rules don't create false alarms,,,,2025-08-26,v2.2
G003,Security Vulnerability Assessment,Niagara,,Deep_Dive,GUARDIAN,Annually,,2," • 2. Review vulnerability report
 • 3. Check for default passwords
 • 4. Verify encryption settings
 • 6. Check for unnecessary services",SOP_G003,No default/unused accounts; strong password policy enforced; lockout tested,,A006,"Security scanner, Vulnerability checklist",Maintain system integrity during security assessment,Niagara 4 Hardening Guide (2025): https://www.tridium.com/content/dam/tridium/en/documents/document-lists/niagara/tri-Niagara4-Hardening-Guide-en-2025.pdf | Passphrase reset/how‑to (Niagara 4): https://help.onesight.solutions/kb/niagara4-passphrase-reset-windows/,,,2025-08-26,v2.2
G004,Network Performance Optimization,Niagara,,Deep_Dive,GUARDIAN,Annually,,2," • 2. Check bandwidth utilization
 • 3. Identify bottlenecks
 • 5. Implement COV where possible
 • 7. Test optimizations",SOP_G004,All devices online or work orders opened for offline nodes,Device status export; offline list,A001,"Network analyzer, Performance monitor",Maintain network stability during optimization,,,,2025-08-26,v2.2
G005,Graphics & HMI Enhancement,Niagara,,Wrap_Up,GUARDIAN,,,2," • Review existing graphics
 • 2. Identify enhancement needs
 • 4. Add navigation improvements
 • 5. Implement mobile compatibility",SOP_G005,Task completes without errors; customer briefed; notes updated,,G002,"Px Editor, Graphics tools",Ensure critical system information remains easily accessible,,,,2025-08-26,v2.2
G006,Preventive Maintenance Scheduling,Niagara,,Deep_Dive,GUARDIAN,,,2," • Review equipment maintenance needs
 • 2. Create PM schedules in BAS
 • 3. Configure maintenance alarms
 • 4. Set up runtime tracking",SOP_G006,Task completes without errors; customer briefed; notes updated,,G001,"Workbench, Maintenance templates",Ensure maintenance schedules don't compromise system reliability,,,,2025-08-26,v2.2
