Customer,Labor Tax Code,Email,Mailing Address,Mailing City,Mailing State,Mailing ZIP Code,Customer ID,Part Tax Code,Contract Customer
ANDERSON COMPANIES,,,368 PASSAIC AVENUE,FAIRFIELD,NJ,7004,805,,No
ANDOVER REGIONAL B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,707 LIMECREST RD.,NEWTON,NJ,7860,52,NNJ Non-Taxable Sales New Jersey (0%),No
ANRON AIR SYSTEMS,NNY NON-TAXABLE NY (0%),,440 WYANDANCH AVE,N. BABYLON,NY,11704,53,NNY NON-TAXABLE NY (0%),No
APEX MECHANICAL CORP.,NNY NON-TAXABLE NY (0%),mikeg@apexmechcorp.com,2800 WEBSTER AVENUE,NEW YORK,NY,10458,751,NNY NON-TAXABLE NY (0%),No
AQUA-THERM PLUMBING & HEATING,NNJ Non-Taxable Sales New Jersey (0%),,7 BERYL STREET,SOUTH RIVER,NJ,8882,54,NNJ Non-Taxable Sales New Jersey (0%),No
ARAMARK FACILITIES MANAGEMENT,NNJ Non-Taxable Sales New Jersey (0%),,2400 MARKET STREET,PHILADELPHIA,PA,19103,911,NNJ Non-Taxable Sales New Jersey (0%),Yes
"ARE-NY REGION NO.2, LLC",TNYC NYC SALES TAX (8.875%),,30-02 48TH AVENUE,LONG ISLAND,NY,11101,1045,TNYC NYC SALES TAX (8.875%),
"ARGENT CONTRACTING CO., INC",NNJ Non-Taxable Sales New Jersey (0%),,16 WATCHUNG AVENUE,CHATHAM,NJ,7928,887,NNJ Non-Taxable Sales New Jersey (0%),No
"ARMISTEAD MECHANICAL, INC",NNJ Non-Taxable Sales New Jersey (0%),,168 HOPPER AVENUE,WALDWICK,NJ,7463,954,NNJ Non-Taxable Sales New Jersey (0%),
A.SAIA & SON HEATING & AIR,NNJ Non-Taxable Sales New Jersey (0%),,27-29N NORTH 8TH STREET,BELLEVILLE,NJ,7109,21,NNJ Non-Taxable Sales New Jersey (0%),No
"ASCENDIA PHARMACEUTICALS, INC.",NNJ Non-Taxable Sales New Jersey (0%),,661 US-1,NORTH BRUNSWICK,NJ,8902,979,NNJ Non-Taxable Sales New Jersey (0%),
- A Test -,,,,,,,946,,
"ATRIA BUILDERS, LLC",NNY NON-TAXABLE NY (0%),,"158-13 72ND AVENUE, SUITE 2D",FLUSHING,NY,11365,972,NNY NON-TAXABLE NY (0%),
"AUCTA PHARMACEUTICALS, INC",TNJ NJ SALES TAX (6.625%),bob.gao@auctapharma.com,71 SUTTONS LANE,PISCATAWAY,NJ,8854,864,TNJ NJ SALES TAX (6.625%),No
"BAIN & COMPANY, INC.",TNYC NYC SALES TAX (8.875%),,"1717 MCKINNEY AVENUE, SUITE 1700",DALLAS,TX,75202,883,TNYC NYC SALES TAX (8.875%),
BAM MECHANICAL CORP,NNY NON-TAXABLE NY (0%),,26 CHESTNUT RIDGE ROAD,ARMONK,NY,10504,65,NNY NON-TAXABLE NY (0%),No
"BARHAM MECHANICAL GROUP, LLC",NNJ Non-Taxable Sales New Jersey (0%),,4239 HIGHWAY 33,TINTON FALLS,NJ,7753,66,NNJ Non-Taxable Sales New Jersey (0%),No
BAYSIDE REFRIGERATIION INC. DBA AIRLOGIX,NNY NON-TAXABLE NY (0%),,24-26 46TH STREET,ASTORIA,NY,11103,67,NNY NON-TAXABLE NY (0%),No
BEAM LIVING,TNYC NYC SALES TAX (8.875%),,276 FIRST AVE.,Loop New York,NY,10009,1016,TNYC NYC SALES TAX (8.875%),Yes
BECKFORD TOWER,TNYC NYC SALES TAX (8.875%),,301 East 80th Street,New York,NY,10075,1015,TNYC NYC SALES TAX (8.875%),
BEDFORD AVENUE TRS LLC,TNYC NYC SALES TAX (8.875%),,485 7TH AVENUE,NEW YORK,NY,10018,782,TNYC NYC SALES TAX (8.875%),Yes
BELLEVILLE BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,56 RALPH STREET,BELLEVILLE,NJ,7109,70,NNJ Non-Taxable Sales New Jersey (0%),No
BELLEVILLE BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,56 RALPH STREET,BELLEVILLE,NJ,7109,746,NNJ Non-Taxable Sales New Jersey (0%),Yes
BENMAR AIR CONDITIONING LLC,NNJ Non-Taxable Sales New Jersey (0%),,65 CLIFTON BOULEVARD,CLIFTON,NJ,7015,72,NNJ Non-Taxable Sales New Jersey (0%),No
"BERKLEE COLLEGE OF MUSIC, INC.",NNY NON-TAXABLE NY (0%),,441 West 53rd Street,New York,NY,10019,846,NNY NON-TAXABLE NY (0%),No
BERLITZ,TNJ NJ SALES TAX (6.625%),,"7 ROSZEL ROAD, 3RD FLOOR",PRINCETON,NJ,8540,823,TNJ NJ SALES TAX (6.625%),No
BERNARDS TOWNSHIP B.O.E. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,101 PEACHTREE ROAD,BASKING RIDGE,NJ,7920,74,NNJ Non-Taxable Sales New Jersey (0%),No
BERTUSSI'S CONTRACTING INC.,NNY NON-TAXABLE NY (0%),,60-70 DEXTER PLAZA,PEARL RIVER,NY,10965,76,NNY NON-TAXABLE NY (0%),No
"B&F ELECTRIC MOTORS, INC.",TNYS NY SUFFOLK SALES TAX (8.625%),,d/b/a JOHNSTONE SUPPLY,FARMINGDALE,NY,11735,876,TNYS NY SUFFOLK SALES TAX (8.625%),No
BLOOMFIELD BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,155 BROAD STREET,BLOOMFIELD,NJ,7003,78,NNJ Non-Taxable Sales New Jersey (0%),No
BLOOMFIELD BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,155 BROAD STREET,BLOOMFIELD,NJ,7003,749,NNJ Non-Taxable Sales New Jersey (0%),No
BLOOMFIELD JOINT VENTURE,TNJ NJ SALES TAX (6.625%),,76 SOUTH ORANGE AVENUE,SOURTH ORANGE,NJ,7079,79,TNJ NJ SALES TAX (6.625%),No
BLOOMINGDALE BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,225 GLENWILD AVENUE,BLOOMINGDALE,NJ,7403,80,NNJ Non-Taxable Sales New Jersey (0%),No
BLU DOT HQ,,,1321 TYLER ST. NE,MINNEAPOLIS,MN,55413,81,,Yes
BLUE MANAGEMENT SERVICES,TNJ NJ SALES TAX (6.625%),,33 WASHINGTON ST,NEWARK,NJ,7102,926,TNJ NJ SALES TAX (6.625%),Yes
BLUMENFELD DEVELOPMENT GROUP,TNYC NYC SALES TAX (8.875%),,75-20 ASTORIA BLVD,JACKSON HEIGHTS,NY,11370,82,TNYC NYC SALES TAX (8.875%),Yes
BOE N. HUNTERDON-VOORHEES REG.(ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,HIGH SCHOOL DISTRIC STATE ROUTE 31,ANNANDALE,NJ,8801,85,NNJ Non-Taxable Sales New Jersey (0%),No
B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,DISTRIC NO. 1,LITTLE FALLS,NJ,7424,62,NNJ Non-Taxable Sales New Jersey (0%),Yes
B.O.E. VOCATIONAL CO. OF SUSSEX(ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,105 N. CHURCH ROAD,SPARTA,NJ,7871,64,NNJ Non-Taxable Sales New Jersey (0%),No
BOND STREET,TNYC NYC SALES TAX (8.875%),,500 WEST 33RD STREET,NEW YORK,NY,10001,952,TNYC NYC SALES TAX (8.875%),No
BON SECOURS COMMUNITY HOSPITAL,NNY NON-TAXABLE NY (0%),,160 E. MAIN STREET,PORT JERVIS,NY,12771,87,NNY NON-TAXABLE NY (0%),Yes
BOONTON TOWNSHIP BOE (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,11 Valley Road,Boonton,NJ,7005,868,NNJ Non-Taxable Sales New Jersey (0%),No
BOROUGH OF RUTHERFORD,NNJ Non-Taxable Sales New Jersey (0%),,176 PARK AVE,RUTHERFORD,NJ,7070,992,NNJ Non-Taxable Sales New Jersey (0%),
BOROUGH OF WANAQUE,NNJ Non-Taxable Sales New Jersey (0%),,579 RINGWOOD AVE.,WANAQUE,NJ,7465,90,NNJ Non-Taxable Sales New Jersey (0%),No
BRAE BURN COUNTRY CLUB INC.,TNYW NY WESTCHESTER SALES TAX (8.375%),,39 BRAE BRUN DRIVE,PURCHASE,NY,10577,776,TNYW NY WESTCHESTER SALES TAX (8.375%),No
BR FRIES AND ASSOCIATES LLC,NNY NON-TAXABLE NY (0%),,"34 WEST 32ND ST., 7TH FL",NEW YORK,NY,10001,93,NNY NON-TAXABLE NY (0%),No
BRIAN TREMATORE PLUMBING & HEATING,NNJ Non-Taxable Sales New Jersey (0%),,5 DANIEL ROAD EAST,FAIRFIELD,NJ,7004,95,NNJ Non-Taxable Sales New Jersey (0%),No
BRIDGEWATER-RARITAN REG DIST. (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,836 NEWMANS LANE,BRIDGEWATER,NJ,08807-0030,96,NNJ Non-Taxable Sales New Jersey (0%),No
"BRIGHTCORE ENERGY, LLC",NNY NON-TAXABLE NY (0%),,80 BUSINESS PARK DRIVE #211,ARMONK,NY,10504,98,NNY NON-TAXABLE NY (0%),No
BRONX HEALTHCARE,NNY NON-TAXABLE NY (0%),,1650 GRAND CONCOURSE,BRONX,NY,10457,100,NNY NON-TAXABLE NY (0%),No
BROOKLYN BOTANIC GARDEN,TNYC NYC SALES TAX (8.875%),,"1000 WASHINGTON AVENUE
C/O GARDINER & THEOBALD INC. (G&T)",BROOKLYN,NY,11225,1050,TNYC NYC SALES TAX (8.875%),
BROOKLYN PUBLIC LIBRARY,NNY NON-TAXABLE NY (0%),,10 GRAND ARMY PLAZA,BROOKLYN,NY,11238,102,NNY NON-TAXABLE NY (0%),No
BROOKLYN VA MEDICAL CENTER,,,800 Poly Place,Brooklyn,NY,11209,867,,No
BTCT (STEINER RT 202),TNJ NJ SALES TAX (6.625%),,C/O STEINER EQUITIES GROUP LLC,ROSELAND,NJ,07068-1696,105,TNJ NJ SALES TAX (6.625%),Yes
BUIST INCORPORATED,NNJ Non-Taxable Sales New Jersey (0%),,860 GEORGES ROAD,MONMOUTH JUNCTION,NJ,8852,107,NNJ Non-Taxable Sales New Jersey (0%),No
BUTLER BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,38 BARTHOLDI AVENUE,BUTLER,NJ,7405,915,NNJ Non-Taxable Sales New Jersey (0%),Yes
CAFE SPICE LLC,NNY NON-TAXABLE NY (0%),,677 LITTLE BRITAIN ROAD,NEW WINDSOR,NY,12553,958,NNY NON-TAXABLE NY (0%),
CALDWELL WEST CALDWELL (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,104 GRAY STREET,WEST CALDWELL,NJ,07006-7696,115,NNJ Non-Taxable Sales New Jersey (0%),No
"CANNON MECHANICAL, INC.",NNY NON-TAXABLE NY (0%),,75-17 COOPER AVENUE,GLENDALE,NY,11385,793,NNY NON-TAXABLE NY (0%),No
CARL WALKER CONSTRUCTION,NNJ Non-Taxable Sales New Jersey (0%),,935 VISTA DRIVE,PITTSBURGH,PA,15205,856,NNJ Non-Taxable Sales New Jersey (0%),
CARTER MECHANICAL,NPA NON-TAXABLE PA (0%),,176 PENNSYLVANIA AVE.,MALVERN,PA,19355,120,NPA NON-TAXABLE PA (0%),
CBRE PROPERTY MANAGEMENT,NNY NON-TAXABLE NY (0%),,"Billbox: 01-205819-IEV001 
PO Box 2021",WARREN,MI,48090-2021,121,NNY NON-TAXABLE NY (0%),Yes
"CCI CONSTRUCTION, INC.",NNJ Non-Taxable Sales New Jersey (0%),WWW.CCI-CONSTRUCTION.COM,70 CHESTNUT RIDGE ROAD,MONTVALE,NJ,7645,766,NNJ Non-Taxable Sales New Jersey (0%),No
"C. DOUGHERTY & CO., INC.",NNJ Non-Taxable Sales New Jersey (0%),,7 WASHINGTON AVE.,PATERSON,NJ,7503,113,NNJ Non-Taxable Sales New Jersey (0%),No
CEDAR GROVE SCHOOL DISTRICT (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,520 POMPTON AVE.,CEDAR GROVE,NJ,7009,122,NNJ Non-Taxable Sales New Jersey (0%),No
CEG SOLUTIONS LLC,,,"4040 NORTH FAIRFAX DR,",ARLINGTON,VA,22203,123,,
"CELLDEX THERAPEUTICS, INC.",TNJ NJ SALES TAX (6.625%),,"160 GOULD STREET, SUITE 202",NEEDHAM,MA,2494,816,TNJ NJ SALES TAX (6.625%),
CENTER FOR URBAN COMMUNITY SERVICES,NNY NON-TAXABLE NY (0%),,312 WEST 127TH STREET,NEW YORK,NY,10027,125,NNY NON-TAXABLE NY (0%),Yes
CENTRALPACK ENGINEERING CORP,NNJ Non-Taxable Sales New Jersey (0%),,359 GREEN POND ROAD,HIBERNIA,NJ,7842,127,NNJ Non-Taxable Sales New Jersey (0%),No
CENTRAL PRESBYTERIAN CHURCH,NNJ Non-Taxable Sales New Jersey (0%),,70 MAPLE STREET,SUMMIT,NJ,7901,126,NNJ Non-Taxable Sales New Jersey (0%),No
CHRISTIAN BROTHERS ACADEMY,NNJ Non-Taxable Sales New Jersey (0%),,850 NEWMAN SPRINGS ROAD,LINCROFT,NJ,7738,129,NNJ Non-Taxable Sales New Jersey (0%),Yes
CHRISTIAN HEALTH CARE CENTER,NNJ Non-Taxable Sales New Jersey (0%),,301 SICOMAC AVE.,WYCKOFF,NJ,7481,130,NNJ Non-Taxable Sales New Jersey (0%),No
CHUGACH CONSOLIDATED SOLUTIONS LLC,NNJ Non-Taxable Sales New Jersey (0%),,"3800 CENTERPOINT DR, SUITE #800",ANCHORAGE,AK,99503,964,NNJ Non-Taxable Sales New Jersey (0%),
CHURCH OF SCIENTOLOGY OF HARLEM,NNY NON-TAXABLE NY (0%),,228 EAST 125TH STREET,NEW YORK,NY,10035,773,NNY NON-TAXABLE NY (0%),No
CITY OF JERSEY CITY,NNJ Non-Taxable Sales New Jersey (0%),,13-15 LINDEN AVENUE EAST,JERSEY CITY,NJ,7305,133,NNJ Non-Taxable Sales New Jersey (0%),Yes
CITY OF NEW YORK PARKS & RECREATION DEPT,NNY NON-TAXABLE NY (0%),,FIVE BORO COMPLEX RANDALL'S ISLAND,NEW YORK,NY,10035,986,NNY NON-TAXABLE NY (0%),
Clayco Inc.,,,2398 East Camelback Road,Phoenix,AZ,85016,1064,,
Clean Kitchen Food,,,,,,,1029,,
CLEMENS FOOD GROUP,TPA PA SALES TAX (6%),,2700 CLEMENS ROAD,HATFIELD,PA,19440,770,TPA PA SALES TAX (6%),
CLIFTON BOARD OF EDUCATION,NNJ Non-Taxable Sales New Jersey (0%),,745 CLIFTON AVE.,CLIFTON,NJ,7013,137,NNJ Non-Taxable Sales New Jersey (0%),No
CLIFTON BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,745 CLIFTON AVE.,CLIFTON,NJ,7015,138,NNJ Non-Taxable Sales New Jersey (0%),No
CMIC CMO USA CORPORATION,TNJ NJ SALES TAX (6.625%),,270 PROSPECT PLAINS RD,CRANBURY,NJ,08512-3605,970,TNJ NJ SALES TAX (6.625%),
"COASTAL AIR CONDITIONING, INC.",NNJ Non-Taxable Sales New Jersey (0%),,6 PHYLLIS STREET,HAZLET,NJ,7730,811,NNJ Non-Taxable Sales New Jersey (0%),No
COASTAL REFRIGERATION CORP.,NNJ Non-Taxable Sales New Jersey (0%),,1016 STATE ROUTE 33,FREEHOLD,NJ,7728,141,NNJ Non-Taxable Sales New Jersey (0%),No
COLLINGS BUILDING SERVICES,TNYC NYC SALES TAX (8.875%),,24-01 44TH ROAD,LONG ISLAND CITY,NY,11101,903,TNYC NYC SALES TAX (8.875%),No
COLUMBIA UNIVERSITY MEDICAL CENTER,NNY NON-TAXABLE NY (0%),,650 WEST 168TH STREET,NEW YORK,NY,10032,144,NNY NON-TAXABLE NY (0%),Yes
COMFORT MECHANICAL CORP.,NNJ Non-Taxable Sales New Jersey (0%),,PO BOX 4135,LONG BRANCH,NJ,7740,146,NNJ Non-Taxable Sales New Jersey (0%),No
COMPUTERCOOL ICEAGE MECHANICAL CORP,NNY NON-TAXABLE NY (0%),,58-75 57TH ROAD,MASPETH,NY,11378,148,NNY NON-TAXABLE NY (0%),No
"CON EDISON SOLUTIONS, INC.",TNYC NYC SALES TAX (8.875%),,3405 W. DR. MARTIN L. KING JR. BLVD. SUITE 101,TAMPA,FL,33607,918,TNYC NYC SALES TAX (8.875%),
CONNELL REAL ESTATE & DEVELOPMENT CO.,TNJ NJ SALES TAX (6.625%),,300 CONNELL DRIVE,BERKELEY HEIGHTS,NJ,7922,910,TNJ NJ SALES TAX (6.625%),Yes
CORE FACILITIES SERVICES LLC.,NNJ Non-Taxable Sales New Jersey (0%),,150 EAST 42ND STREET 7TH FLOOR,NEW YORK,NY,10017,153,NNJ Non-Taxable Sales New Jersey (0%),Yes
"CORPORATE COMMONS THREE, LLC",TNYC NYC SALES TAX (8.875%),,1110 SOUTH AVE,STATEN ISLAND,NY,10314,1048,TNYC NYC SALES TAX (8.875%),
COUNTY OF ESSEX,NNJ Non-Taxable Sales New Jersey (0%),,465 DR MARTIN LUTHER KING JR BLVD #335,NEWARK,NJ,7102,851,NNJ Non-Taxable Sales New Jersey (0%),No
COUNTY OF MIDDLESEX (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),Michael.tonne@co.middlesex.nj.us,PO BOX 661,NEW BRUNSWICK,NJ,8903,948,NNJ Non-Taxable Sales New Jersey (0%),
COUNTY OF MORRIS,NNJ Non-Taxable Sales New Jersey (0%),,DEPARTMENT OF FINANCE,MORRISTOWN,NJ,07963-0900,156,NNJ Non-Taxable Sales New Jersey (0%),Yes
COUNTY OF ORANGE NY,NNY NON-TAXABLE NY (0%),,C/O DEPT. OF PUBLIC WORKS,GOSHEN,NY,10924,157,NNY NON-TAXABLE NY (0%),Yes
COUNTY OF PASSAIC PUBLIC BUILDINGS(ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,151 EAST 11TH STREET,PATERSON,NJ,7524,159,NNJ Non-Taxable Sales New Jersey (0%),No
CRANFORD BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),,132 THOMAS STREET,CRANFORD,NJ,7016,163,NNJ Non-Taxable Sales New Jersey (0%),No
CRESSKILL BOARD OF EDUCATION (ESCNJ),NNJ Non-Taxable Sales New Jersey (0%),tschillaci@cresskillnj.net,15 BROOKSIDE AVE,CRESSKILL,NJ,7626,874,NNJ Non-Taxable Sales New Jersey (0%),No
CropOne,,,725 MAIN STREET,MILLIS-CLICQUOT,MA,2054,791,,
CRYSTAL & DIAMOND HOSPITALITY LLC,TNJ NJ SALES TAX (6.625%),,D/B/A ENVUE AUTOGRAPH COLLECTION,,,,762,TNJ NJ SALES TAX (6.625%),
Cushman & Wakefield (650 College),TNJ NJ SALES TAX (6.625%),,650 College Road East,Princeton,NJ,8540,817,TNJ NJ SALES TAX (6.625%),No
CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY),TNYC NYC SALES TAX (8.875%),,141 WILLOUGHBY STREET,BROOKLYN,NY,11201,735,TNYC NYC SALES TAX (8.875%),Yes
