simpro_customer_id,company_name,email,mailing_address,mailing_city,mailing_state,mailing_zip,labor_tax_code,part_tax_code,is_contract_customer,has_active_contracts,active_contract_count,total_contract_value,service_tier,latest_contract_email
1039,"AMBIENT CONDITIONING, INC",,601 King George Road,Fords,NJ,8863,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
48,"AMCO ENTERPRISES, INC.",,600 SWENSON DRIVE,KENILWORTH,NJ,7033,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
49,AME INC,danny@ame-inc.com,1275 BLOOMFIELD AVE,FAIRFIELD,NJ,7004,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,True,1,10500.0,CORE,danny@ame-inc.com
1002,AME INC 1,steve@ame-inc.com,"1275 Bloomfield Ave
STE 17B BLDG 2",Fairfield,NJ,7004,,,False,True,1,25000.0,CORE,steve@ame-inc.com
50,"AMERESCO, INC.",,520 W. SUMMIT HILL DRIVE,KNOXVILLE,TN,37902,,,False,False,0,0.0,CORE,
51,AMITYVILLE UFSD (ED-DATA),,150 PARK AVE.,AMITYVILLE,NY,11701,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
737,AMNEAL PHARMACEUTICALS,priyeshkumar.shah@amneal.com,1 NEW ENGLAND AVENUE,PISCATAWAY,NJ,8854,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
805,ANDERSON COMPANIES,,368 PASSAIC AVENUE,FAIRFIELD,NJ,7004,,,False,False,0,0.0,CORE,
52,ANDOVER REGIONAL B.O.E. (ESCNJ),,707 LIMECREST RD.,NEWTON,NJ,7860,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
53,ANRON AIR SYSTEMS,,440 WYANDANCH AVE,N. BABYLON,NY,11704,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
751,APEX MECHANICAL CORP.,mikeg@apexmechcorp.com,2800 WEBSTER AVENUE,NEW YORK,NY,10458,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
54,AQUA-THERM PLUMBING & HEATING,,7 BERYL STREET,SOUTH RIVER,NJ,8882,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
911,ARAMARK FACILITIES MANAGEMENT,,2400 MARKET STREET,PHILADELPHIA,PA,19103,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,True,1,49806.0,CORE,
1045,"ARE-NY REGION NO.2, LLC",,30-02 48TH AVENUE,LONG ISLAND,NY,11101,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,True,1,16952.0,CORE,
887,"ARGENT CONTRACTING CO., INC",,16 WATCHUNG AVENUE,CHATHAM,NJ,7928,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
954,"ARMISTEAD MECHANICAL, INC",,168 HOPPER AVENUE,WALDWICK,NJ,7463,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
21,A.SAIA & SON HEATING & AIR,,27-29N NORTH 8TH STREET,BELLEVILLE,NJ,7109,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
979,"ASCENDIA PHARMACEUTICALS, INC.",,661 US-1,NORTH BRUNSWICK,NJ,8902,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
946,- A Test -,,,,,,,,False,False,0,0.0,CORE,
972,"ATRIA BUILDERS, LLC",,"158-13 72ND AVENUE, SUITE 2D",FLUSHING,NY,11365,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
864,"AUCTA PHARMACEUTICALS, INC",bob.gao@auctapharma.com,71 SUTTONS LANE,PISCATAWAY,NJ,8854,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
883,"BAIN & COMPANY, INC.",,"1717 MCKINNEY AVENUE, SUITE 1700",DALLAS,TX,75202,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
65,BAM MECHANICAL CORP,,26 CHESTNUT RIDGE ROAD,ARMONK,NY,10504,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
66,"BARHAM MECHANICAL GROUP, LLC",,4239 HIGHWAY 33,TINTON FALLS,NJ,7753,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
67,BAYSIDE REFRIGERATIION INC. DBA AIRLOGIX,,24-26 46TH STREET,ASTORIA,NY,11103,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
1016,BEAM LIVING,,276 FIRST AVE.,Loop New York,NY,10009,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),True,True,3,106877.07999999999,ASSURE,
1015,BECKFORD TOWER,,301 East 80th Street,New York,NY,10075,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
782,BEDFORD AVENUE TRS LLC,,485 7TH AVENUE,NEW YORK,NY,10018,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),True,True,1,14957.0,CORE,carlos.lorenzo@moxywilliamsburg.com
70,BELLEVILLE BOARD OF EDUCATION,,56 RALPH STREET,BELLEVILLE,NJ,7109,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
746,BELLEVILLE BOARD OF EDUCATION (ESCNJ),,56 RALPH STREET,BELLEVILLE,NJ,7109,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,True,1,8005.0,CORE,renato.peralta@bellevilleschools.org
72,BENMAR AIR CONDITIONING LLC,,65 CLIFTON BOULEVARD,CLIFTON,NJ,7015,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,1,4975.0,CORE,
846,"BERKLEE COLLEGE OF MUSIC, INC.",,441 West 53rd Street,New York,NY,10019,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
823,BERLITZ,,"7 ROSZEL ROAD, 3RD FLOOR",PRINCETON,NJ,8540,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
74,BERNARDS TOWNSHIP B.O.E. (ESCNJ),,101 PEACHTREE ROAD,BASKING RIDGE,NJ,7920,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
76,BERTUSSI'S CONTRACTING INC.,,60-70 DEXTER PLAZA,PEARL RIVER,NY,10965,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
876,"B&F ELECTRIC MOTORS, INC.",,d/b/a JOHNSTONE SUPPLY,FARMINGDALE,NY,11735,TNYS NY SUFFOLK SALES TAX (8.625%),TNYS NY SUFFOLK SALES TAX (8.625%),False,False,0,0.0,CORE,
78,BLOOMFIELD BOARD OF EDUCATION,,155 BROAD STREET,BLOOMFIELD,NJ,7003,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
749,BLOOMFIELD BOARD OF EDUCATION (ESCNJ),,155 BROAD STREET,BLOOMFIELD,NJ,7003,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,2,34601.0,CORE,
79,BLOOMFIELD JOINT VENTURE,,76 SOUTH ORANGE AVENUE,SOURTH ORANGE,NJ,7079,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
80,BLOOMINGDALE BOARD OF EDUCATION,,225 GLENWILD AVENUE,BLOOMINGDALE,NJ,7403,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,1,18330.0,CORE,
81,BLU DOT HQ,,1321 TYLER ST. NE,MINNEAPOLIS,MN,55413,,,True,True,1,3965.0,CORE,kweber@bludot.com
926,BLUE MANAGEMENT SERVICES,,33 WASHINGTON ST,NEWARK,NJ,7102,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),True,True,1,34848.0,CORE,
82,BLUMENFELD DEVELOPMENT GROUP,,75-20 ASTORIA BLVD,JACKSON HEIGHTS,NY,11370,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),True,True,1,135150.0,ASSURE,
85,BOE N. HUNTERDON-VOORHEES REG.(ESCNJ),,HIGH SCHOOL DISTRIC STATE ROUTE 31,ANNANDALE,NJ,8801,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,2,23599.0,CORE,
62,B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ),,DISTRIC NO. 1,LITTLE FALLS,NJ,7424,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,True,1,11754.0,CORE,
64,B.O.E. VOCATIONAL CO. OF SUSSEX(ESCNJ),,105 N. CHURCH ROAD,SPARTA,NJ,7871,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
952,BOND STREET,,500 WEST 33RD STREET,NEW YORK,NY,10001,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
87,BON SECOURS COMMUNITY HOSPITAL,,160 E. MAIN STREET,PORT JERVIS,NY,12771,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),True,True,1,14445.24,CORE,jeannine.lynch@wmchealth.org
868,BOONTON TOWNSHIP BOE (ESCNJ),,11 Valley Road,Boonton,NJ,7005,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
992,BOROUGH OF RUTHERFORD,,176 PARK AVE,RUTHERFORD,NJ,7070,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
90,BOROUGH OF WANAQUE,,579 RINGWOOD AVE.,WANAQUE,NJ,7465,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
776,BRAE BURN COUNTRY CLUB INC.,,39 BRAE BRUN DRIVE,PURCHASE,NY,10577,TNYW NY WESTCHESTER SALES TAX (8.375%),TNYW NY WESTCHESTER SALES TAX (8.375%),False,False,0,0.0,CORE,
93,BR FRIES AND ASSOCIATES LLC,,"34 WEST 32ND ST., 7TH FL",NEW YORK,NY,10001,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
95,BRIAN TREMATORE PLUMBING & HEATING,,5 DANIEL ROAD EAST,FAIRFIELD,NJ,7004,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
96,BRIDGEWATER-RARITAN REG DIST. (ESCNJ),,836 NEWMANS LANE,BRIDGEWATER,NJ,08807-0030,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
98,"BRIGHTCORE ENERGY, LLC",,80 BUSINESS PARK DRIVE #211,ARMONK,NY,10504,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
100,BRONX HEALTHCARE,,1650 GRAND CONCOURSE,BRONX,NY,10457,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
1050,BROOKLYN BOTANIC GARDEN,,"1000 WASHINGTON AVENUE
C/O GARDINER & THEOBALD INC. (G&T)",BROOKLYN,NY,11225,TNYC NYC SALES TAX (8.875%),TNYC NYC SALES TAX (8.875%),False,False,0,0.0,CORE,
102,BROOKLYN PUBLIC LIBRARY,,10 GRAND ARMY PLAZA,BROOKLYN,NY,11238,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
867,BROOKLYN VA MEDICAL CENTER,,800 Poly Place,Brooklyn,NY,11209,,,False,False,0,0.0,CORE,
105,BTCT (STEINER RT 202),,C/O STEINER EQUITIES GROUP LLC,ROSELAND,NJ,07068-1696,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),True,True,1,8500.0,CORE,sph@steinereq.net
107,BUIST INCORPORATED,,860 GEORGES ROAD,MONMOUTH JUNCTION,NJ,8852,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
915,BUTLER BOARD OF EDUCATION,,38 BARTHOLDI AVENUE,BUTLER,NJ,7405,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,True,1,27552.0,CORE,
958,CAFE SPICE LLC,,677 LITTLE BRITAIN ROAD,NEW WINDSOR,NY,12553,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,True,1,9658.0,CORE,
115,CALDWELL WEST CALDWELL (ESCNJ),,104 GRAY STREET,WEST CALDWELL,NJ,07006-7696,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,1,147625.0,ASSURE,cmarcell@cwcboe.org
793,"CANNON MECHANICAL, INC.",,75-17 COOPER AVENUE,GLENDALE,NY,11385,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
856,CARL WALKER CONSTRUCTION,,935 VISTA DRIVE,PITTSBURGH,PA,15205,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
120,CARTER MECHANICAL,,176 PENNSYLVANIA AVE.,MALVERN,PA,19355,NPA NON-TAXABLE PA (0%),NPA NON-TAXABLE PA (0%),False,False,0,0.0,CORE,
121,CBRE PROPERTY MANAGEMENT,,"Billbox: 01-205819-IEV001 
PO Box 2021",WARREN,MI,48090-2021,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),True,True,2,39010.0,CORE,
766,"CCI CONSTRUCTION, INC.",www.cci-construction.com,70 CHESTNUT RIDGE ROAD,MONTVALE,NJ,7645,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
113,"C. DOUGHERTY & CO., INC.",,7 WASHINGTON AVE.,PATERSON,NJ,7503,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
122,CEDAR GROVE SCHOOL DISTRICT (ESCNJ),,520 POMPTON AVE.,CEDAR GROVE,NJ,7009,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,1,10413.97,CORE,
123,CEG SOLUTIONS LLC,,"4040 NORTH FAIRFAX DR,",ARLINGTON,VA,22203,,,False,False,0,0.0,CORE,
816,"CELLDEX THERAPEUTICS, INC.",,"160 GOULD STREET, SUITE 202",NEEDHAM,MA,2494,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,True,1,6617.0,CORE,
125,CENTER FOR URBAN COMMUNITY SERVICES,,312 WEST 127TH STREET,NEW YORK,NY,10027,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),True,True,1,28000.0,CORE,
127,CENTRALPACK ENGINEERING CORP,,359 GREEN POND ROAD,HIBERNIA,NJ,7842,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
126,CENTRAL PRESBYTERIAN CHURCH,,70 MAPLE STREET,SUMMIT,NJ,7901,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,1,4859.0,CORE,
129,CHRISTIAN BROTHERS ACADEMY,,850 NEWMAN SPRINGS ROAD,LINCROFT,NJ,7738,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,True,1,20700.0,CORE,bmcloughlin@cbalincroftnj.org
130,CHRISTIAN HEALTH CARE CENTER,,301 SICOMAC AVE.,WYCKOFF,NJ,7481,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
964,CHUGACH CONSOLIDATED SOLUTIONS LLC,,"3800 CENTERPOINT DR, SUITE #800",ANCHORAGE,AK,99503,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
773,CHURCH OF SCIENTOLOGY OF HARLEM,,228 EAST 125TH STREET,NEW YORK,NY,10035,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
133,CITY OF JERSEY CITY,,13-15 LINDEN AVENUE EAST,JERSEY CITY,NJ,7305,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),True,True,5,141936.0,ASSURE,
986,CITY OF NEW YORK PARKS & RECREATION DEPT,,FIVE BORO COMPLEX RANDALL'S ISLAND,NEW YORK,NY,10035,NNY NON-TAXABLE NY (0%),NNY NON-TAXABLE NY (0%),False,False,0,0.0,CORE,
1064,Clayco Inc.,,2398 East Camelback Road,Phoenix,AZ,85016,,,False,False,0,0.0,CORE,
1029,Clean Kitchen Food,,,,,,,,False,False,0,0.0,CORE,
770,CLEMENS FOOD GROUP,,2700 CLEMENS ROAD,HATFIELD,PA,19440,TPA PA SALES TAX (6%),TPA PA SALES TAX (6%),False,False,0,0.0,CORE,
137,CLIFTON BOARD OF EDUCATION,,745 CLIFTON AVE.,CLIFTON,NJ,7013,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,False,0,0.0,CORE,
138,CLIFTON BOARD OF EDUCATION (ESCNJ),,745 CLIFTON AVE.,CLIFTON,NJ,7015,NNJ Non-Taxable Sales New Jersey (0%),NNJ Non-Taxable Sales New Jersey (0%),False,True,3,327092.0,GUARDIAN,edmaldonado@cliftonschools.net
970,CMIC CMO USA CORPORATION,,270 PROSPECT PLAINS RD,CRANBURY,NJ,08512-3605,TNJ NJ SALES TAX (6.625%),TNJ NJ SALES TAX (6.625%),False,False,0,0.0,CORE,
