"Selected Criteria - Report Type: Contracts With Dates"
"Customer","Contract Name","Contract No.","Value","Status","Start Date","End Date","Email","Notes"
"IEEE (NON-TAXABLE)","IEEE - MAINTENANCE","22-091922-445NJ3Y","$60,593.94","Active","11/01/2022","10/31/2025",,"Value = Total Cost"
"CITY OF JERSEY CITY","CITY OF JERSEY CITY PUBLIC SAFETY - MAINTENANCE","25-010125-2NJ","$57,583.00","Active","06/01/2025","05/31/2026",,
"693 FIFTH OWNER LLC","693 FIFTH OWNER LLC - MAINTENANCE","23103123-693NY","$57,192.00","Active","01/01/2024","01/31/2026",,
"VIVIAN BEAUMONT THEATER, INC","VIVIAN BEAUMONT THEATER, INC - MAINTENANCE","25-010125-150NYK","$56,311.00","Active","01/01/2025","12/31/2028",,"MONTHLY"
"JLL/CAPITAL ONE","299 PARK AVENUE",,"$55,750.00","Expired","06/11/2020","06/30/2023","isaih.matos@capitalone.com","Per Steve, Limit on the NTE is $5,058.15"
"MARLBORO TOWNSHIP B.O.E. (ESCNJ)","MARLBORO SCHOOL DISTRICT","22-062822-1980NJ","$55,418.00","Expired","07/01/2022","06/30/2023","mulanich@marlboro.k12.nj.us",
"MARLBORO TOWNSHIP B.O.E. (ESCNJ)","MARLBORO SCHOOL DISTRICT - MAINTENANCE","23-053123-1980NJ","$55,418.00","Expired","07/01/2023","06/30/2024","mulanich@marlboro.k12.nj.us",
"MARLBORO TOWNSHIP B.O.E. (ESCNJ)","MARLBORO SCHOOL DISTRICT - MAINTENANCE","21-060821-1980NJ","$55,418.00","Expired","07/01/2024","06/30/2025","mulanich@marlboro.k12.nj.us",
"LB&B ASSOCIATES, INC","LB&B ASSOCIATES, INC - MAINTENANCE CONTRACT","22-121522-1040NY","$54,418.00","Expired","04/01/2023","03/31/2024",,"Monthly"
"LB&B ASSOCIATES, INC","LB&B ASSOCIATES, INC - MAINTENANCE CONTRACT","22-121522-1040NY","$54,418.00","Expired","04/01/2024","03/31/2025",,"Monthly"
"BEAM LIVING","Beam Living - Stuyvesant Maintenance","24-121724-NY_rev1","$53,438.52","Active","01/01/2025","12/31/2025",,
"ARAMARK FACILITIES MANAGEMENT","FAIRLEIGH DICKINSON UNIVERSITY - MAINTENANCE","24-042524-383NJ","$49,806.00","Active","06/01/2024","05/31/2025",,
"SECAUCUS BOARD OF EDUCATION (CCESC)","SECAUCUS BOARD OF EDUCATION (CCESC) - MAINTENANCE","23-053123-685NJ","$48,996.00","Expired","07/01/2023","06/30/2024",,"Monthly
SMA Included
UNL RS"
"SECAUCUS BOARD OF EDUCATION (CCESC)","SECAUCUS BOARD OF EDUCATION (CCESC) - MAINTENANCE","24-0524-685NJ","$48,996.00","Expired","07/01/2024","06/30/2025",,"Monthly
SMA Included
UNL RS"
"THE RMR GROUP INC.","THE RMR GROUP INC. - MAINTENANCE","23-061623-200NY","$46,545.00","Active","01/01/2024","12/31/2026",,
"HUDSON COUNTY SCHOOLS OF TECH (ESCNJ)","HUDSON COUNTY TECH (FRANK J. GARGIULO CAMPUS) - MAINTENANCE","22-020822-1NJ","$45,000.00","Expired","03/01/2022","02/28/2025","Wzitt@hcstonline.org","Per Tracy ( phone call) , she said use the same PO number- what they do is just increase the amount. she said no need to send us an updated PO."
"UNION COLLEGE (ESCNJ)","UNION COUNTY COLLEGE - MAINTENANCE","23-121422-1033NJ","$43,850.00","Expired","01/01/2023","06/30/2023",,"Must submit work tickets with invoice."
"WYCKOFF SCHOOL DISTRICT (ESCNJ)","WYCKOFF SCHOOL DISTRICT (ESCNJ) - MAINTENANCE","23-042722-241NJ-3YR","$43,839.75","Expired","07/01/2022","06/30/2025",,"2 Visits per school per year"
"HACKENSACK BOARD OF EDUCATION","HACKENSACK BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","24-0822-191NJ","$43,680.00","Active","07/01/2025","06/30/2026",,
"HACKENSACK BOARD OF EDUCATION","HACKENSACK BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","24-0822-191NJ","$41,440.00","Expired","07/01/2024","06/30/2025",,
"NEW YORK CENTER MANAGEMENT, LLC","NY CENTER FOR AMBULATORY SURGERY - MAINTENANCE","25-101421-1210NY","$40,692.00","Active","01/01/2025","12/31/2027","apoulos@surgery-nyc.com","Bill To-New York Center for Ambulatory Surgery"
"GAP INC.","GAP TSQ - MAINTENANCE","21-111121-55NY-R2","$39,133.00","Expired","01/01/2022","12/31/2024","Tyler_Daniels@gap.com","Billed in advance"
"NEW YORK CENTER MANAGEMENT, LLC","NY CENTER FOR AMBULATORY SURGERY - MAINTENANCE","21-101421-1210NY","$39,120.00","Expired","12/01/2021","11/30/2024","apoulos@surgery-nyc.com","Bill To-New York Center for Ambulatory Surgery"
"MEMORIAL SLOAN KETTERING","MEMORIAL SLOAN KETTERING - MAINTENANCE","24-1014-136NJ-1LE","$38,994.00","Active","01/01/2025","12/31/2025","goldingj@mskcc.org","Monthly (16 visits)
SMA included
UNL RS"
"MARLBORO TOWNSHIP B.O.E. (ESCNJ)","MARLBORO SCHOOL DISTRICT - MAINTENANCE","26-0624-1980NJ","$37,796.00","Active","07/01/2025","06/30/2026","mulanich@marlboro.k12.nj.us",
"MEMORIAL SLOAN KETTERING","MEMORIAL SLOAN KETTERING - MAINTENANCE","23-091923-136NJ","$37,115.00","Expired","01/01/2024","12/31/2024","goldingj@mskcc.org","Monthly (16 visits)
SMA included
UNL RS"
"HILLSBOROUGH TOWNSHIP PUBLIC SCHOOLS","HILLSBOROUGH TOWNSHIP PUBLIC SCHOOLS - MAINTENANCE","23-060123-379NJ","$36,022.00","Active","07/01/2023","06/30/2024",,
"HILLSBOROUGH TWP B.O.E. (ESCNJ)","HILLSBOROUGH TWP B.O.E. (ESCNJ) - MAINTENANCE","11519","$36,022.00","Expired","07/01/2024","06/30/2025",,
"HILLSBOROUGH TWP B.O.E. (ESCNJ)","HILLSBOROUGH TWP B.O.E. (ESCNJ) - MAINTENANCE","12751","$36,022.00","Active","07/01/2025","06/30/2026",,
"PASCACK VALLEY REG. H.S. DIST. (ESCNJ )","PHHS & PVHS - MAINTENANCE","24-0524-228NJ","$35,043.00","Active","07/01/2024","06/30/2025","amorgen@pascack.org","Monthly"
"WESTCHESTER COUNTY HEALTHCARE CORP.","WMC AMBULATORY CARE PAVILLION - SERVICE CONTRACT ONLY","WMC-04721","$34,990.00","Expired","12/01/2022","11/30/2023","robert.daly@wmchealth.org",
"WESTCHESTER COUNTY HEALTHCARE CORP.","WMC AMBULATORY CARE PAVILLION - SERVICE CONTRACT ONLY","WMC-07377","$34,990.00","Active","12/01/2023","11/30/2024","robert.daly@wmchealth.org",
"CWP- NYC PROPERTY MGT SERVICES","787 SEVENTH AVENUE -  MAINTENANCE","23-120122-787NY","$34,900.00","Active","12/01/2022","12/01/2025","pnaughton@cwp-ms.com","Keep billing monthly per AP (01.13.22); 02.11.22 GH / SI / LM working on reviewing the costs of the SMA's + maintenance. Reviewing to see if PM's were included in the construction job for 3 years. How do we make back $ for the SMA's?"
"BLUE MANAGEMENT SERVICES","BLUE MANAGEMENT 33 WASHINGTON - MAINTENANCE","25-0515-33NJ","$34,848.00","Active","05/01/2025","04/30/2026",,
"PASCACK VALLEY REG. H.S. DIST. (ESCNJ )","PHHS & PVHS","23-061022-28NJ","$34,672.00","Expired","07/01/2022","06/30/2023","amorgen@pascack.org",
"PASCACK VALLEY REG. H.S. DIST. (ESCNJ )","PHHS & PVHS - MAINTENANCE","23-053123-28NJ","$34,672.00","Expired","07/01/2023","06/30/2024","amorgen@pascack.org","Monthly"
"LINCOLN CENTER FOR THE PERFORMING ARTS","DAVID GEFFEN HALL - MAINTENANCE","24-092222-70NY","$33,975.00","Expired","04/01/2024","08/31/2024",,
"RANDOLPH TWP B.O.E. (ESCNJ)","RANDOLPH TWP B.O.E. - MAINTENANCE","23-052622-25NJ","$33,632.00","Expired","07/01/2022","06/30/2023","ssanchez@rtnj.org",
"BLUE MANAGEMENT SERVICES","BLUE MANAGEMENT 33 WASHINGTON - MAINTENANCE","24-042424-289NJ","$33,264.00","Expired","05/01/2024","04/30/2025",,
"LB&B ASSOCIATES, INC","LB&B ASSOCIATES, INC - MAINTENANCE CONTRACT","25-0325-1040NY","$32,730.00","Active","04/01/2025","03/31/2026",,"Monthly"
"CORE FACILITIES SERVICES LLC.","CORE FACILITIES SERVICES LLC. - MAINTENANCE TERMINAL A",,"$32,648.00","Active","08/01/2024","07/31/2025",,
"CITY OF JERSEY CITY","CITY OF JERSEY CITY 1 & 4 - MAINTENANCE","24-010124-1&4NJ","$31,622.00","Expired","05/10/2024","12/31/2024",,
"CORE FACILITIES SERVICES LLC.","CORE FACILITIES SERVICES LLC. - MAINTENANCE TERMINAL B",,"$31,491.60","Active","08/01/2024","07/31/2025",,
"INSIGHT PARTNERS","1114 6TH AVENUE - MAINTENANCE","25-*051925-1114NY","$30,852.00","Active","05/01/2025","04/30/2028","ljfelix@insightpartners.com",
"CUSHMAN & WAKEFIELD, INC. (650 FIFTH)","CUSHMAN & WAKEFIELD, INC. (650 FIFTH) - MAINTENANCE","23-0140423-650NY","$30,691.80","Active","04/01/2023","03/31/2026",,
"RANDOLPH TWP B.O.E. (ESCNJ)","RANDOLPH TWP B.O.E. - MAINTENANCE","25-0624-25NJ","$29,345.00","Active","07/01/2025","06/30/2026","ssanchez@rtnj.org",
"CITY OF JERSEY CITY","CITY HALL ANNEX 4 / 1 & 2 JACKSON SQUARE","23-102822-1&4NJ","$28,588.00","Expired","01/01/2022","12/31/2022","Dcarlucci@jcnj.org","NL - Submitted Vendor Registration; PO only for $5,000.00"
"SECAUCUS BOARD OF EDUCATION (CCESC)","SECAUCUS HIGH/MIDDLE SCHOOL & CLARENDON ES - Maintenance","22-061322-685NJ","$28,582.00","Expired","12/01/2022","06/30/2023","lnicolich@sboe.org",
"RANDOLPH TWP B.O.E. (ESCNJ)","RANDOLPH TWP B.O.E. - MAINTENANCE","23-052323-25NJ","$28,288.00","Expired","07/01/2023","06/30/2024","ssanchez@rtnj.org",
"RANDOLPH TWP B.O.E. (ESCNJ)","RANDOLPH TWP B.O.E. - MAINTENANCE","24-0524-25NJ","$28,288.00","Expired","07/01/2024","06/30/2025","ssanchez@rtnj.org",
"MOUNTAIN LAKES BOARD OF EDUCATION","MOUNTAIN LAKES BOARD OF EDUCATION - PNEUMATICS MAINTENANCS","25-0515-400NJ","$28,160.00","Active","07/01/2025","06/30/2026",,
"CENTER FOR URBAN COMMUNITY SERVICES","CENTER FOR URBAN COMMUNITY SERVICES - MAINTENANCE","23-121522-312NY","$28,000.00","Active","10/01/2021","09/30/2026",,"PRE-PAID FROM CONSTRUCTION

12 HOURS REMOTE SUPPORT 
(QUARTERLY)"
"QC TERME NY LLC","QC TERME NY BUILDING - MAINTENANCE","23-020323-111NY-3Y","$27,553.00","Active","03/01/2023","02/28/2026",,
"BUTLER BOARD OF EDUCATION","BUTLER BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","25-0515-38NJ","$27,552.00","Active","07/01/2025","06/30/2026",,
"CORPORATE COMMONS THREE, LLC","CORPORATE COMMONS THREE, LLC - MAINTENANCE","25-0428-1441NY-3LE","$27,530.16","Active","06/01/2025","05/31/2027",,
"BUTLER BOARD OF EDUCATION","BUTLER BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","24-042424-289NJ","$26,880.00","Expired","07/01/2024","06/30/2025",,
"PHILLIPSBURG BOARD OF EDUCATION (ESCNJ)","PHILLIPSBURG BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","22-1004-50NJ","$26,782.00","Expired","12/01/2024","06/30/2025",,
"BEAM LIVING","Beam Living - Kips Bay Maintenance","24-121724-NY_rev1","$26,719.28","Active","01/01/2025","12/31/2025",,
"BEAM LIVING","Beam Living - Parker Towers Maintenance","24-121724-NY_rev1","$26,719.28","Active","01/01/2025","12/31/2025",,
"CONNELL REAL ESTATE & DEVELOPMENT CO.","CONNELL REAL ESTATE & DEVELOPMENT CO. - MAINTENANCE","25-0228-100NJ","$26,193.02","Active","03/01/2025","02/28/2026",,
"PEQUANNOCK TWP SCHOOL DISTRICT (ESCNJ)","PEQUANNOCK TWP SCHOOL DISTRICT (ESCNJ) -  MAINTENANCE","24-102424-538NJ","$25,770.00","Expired","07/01/2024","06/30/2025",,
"PEQUANNOCK TWP SCHOOL DISTRICT (ESCNJ)","PEQUANNOCK TWP SCHOOL DISTRICT (ESCNJ) -  MAINTENANCE","25-0521-538NJ","$25,770.00","Active","07/01/2025","06/30/2026",,
"POMPTON LAKES BOARD OF EDUCATION","BOARD OF EDUCATION - POMPTON LAKES - PNEUMATICS MAINTENANCE","25-0331-237NJ","$25,740.00","Active","07/01/2025","06/30/2026",,
"2 RECTOR STREET(NY)LLC","101 GREENWICH (2 RECTOR)","22-050122-101NY","$25,500.00","Expired","10/01/2022","09/30/2023","Christopher.Gildea@am.jll.com",
"RASI LABORATORIES","Rasi Laboratories - Maintenance","24-0925-320NJ","$25,495.00","Active","12/01/2024","11/30/2025","adrian.balmater@rasilabs.com",
"CBRE PROPERTY MANAGEMENT","CBRE 295 5TH - MAINTENANCE","565874","$25,490.00","Active","04/21/2025","04/20/2027",,
"MARK ANTHONY BREWING, INC","MARK ANTHONY BREWING, INC - MAINTENANCE","25-0325-600NJ","$25,304.00","Active","04/01/2025","03/31/2026",,"Maintain and upgrade system licensing agreements
Unlimited Remote Support
Offsite backup 4 times/year (non-archived)"
"RWJ BARNABAS HEALTH, INC.","OUTPATIENT ONCOLOGY - MAINTENANCE","22-1017-257NJ","$25,290.00","Active","01/01/2023","12/31/2025","diane.flakker@rwjbh.org",
"INSIGHT PARTNERS","1114 6TH AVENUE - MAINTENANCE","22-050222-1114NY","$25,029.00","Expired","05/01/2022","04/30/2025","ljfelix@insightpartners.com",
"AME INC 1","AME INC 1 - Maintenance","2025-1","$25,000.00","Active","01/01/2025","12/31/2025","steve@ame-inc.com","Contract Details"
"BLOOMFIELD BOARD OF EDUCATION (ESCNJ)","BLOOMFIELD BOARD OF EDUCATION (ESCNJ) -  MAINTENANCE","25-0310-155NJ-2LE","$24,956.00","Active","07/01/2025","06/30/2026",,
"RWJ BARNABAS HEALTH, INC.","JERSEY CITY MEDICAL CENTER - MAINTENANCE","20-1231-350NJ","$24,870.00","Expired","01/01/2021","12/31/2023","diane.flakker@rwjbh.org",
"MARK ANTHONY BREWING, INC","MARK ANTHONY BREWING, INC - MAINTENANCE","23-010323-600NJ","$24,808.00","Expired","07/01/2023","06/30/2024",,"Maintain and upgrade system licensing agreements
Unlimited Remote Support
Offsite backup 4 times/year (non-archived)"
"WEST MILFORD TWP B.O.E. (ESCNJ)","DISTRICT - 10 SITES - Maintenance","22-052722-46NJ","$24,690.00","Expired","07/01/2022","06/30/2023",,
"WEST MILFORD TWP B.O.E. (ESCNJ)","WEST MILFORD TWP B.O.E. (ESCNJ) - MAINTENANCE","23-053123-46NJ","$24,690.00","Expired","07/01/2023","06/30/2024",,"Monthly"
"WEST MILFORD TWP B.O.E. (ESCNJ)","WEST MILFORD TWP B.O.E. (ESCNJ) - MAINTENANCE","24-0524-46NJ","$24,690.00","Expired","07/01/2024","06/30/2025",,"Monthly"
"WEST MILFORD TWP B.O.E. (ESCNJ)","WEST MILFORD TWP B.O.E. (ESCNJ) - MAINTENANCE","25-0519-46NJ-1LE","$24,690.00","Active","07/01/2025","06/30/2026",,"Monthly"
"125 W 125TH STREET OFFICE OWNER LLC","NATIONAL URBAN LEAGUE - MAINTENANCE","24-0000000JD","$24,175.00","Active","09/01/2024","08/31/2025",,
"WEITZ & LUXENBERG","WEITZ & LUXENBERG 700 BROADWAY - Maintenance","22-082222-700NY","$24,112.80","Expired","10/01/2022","09/30/2023","jim@700broadway1891llc.com",
"WEITZ & LUXENBERG","WEITZ & LUXENBERG - MAINTENANCE","23-073123-700NY","$24,112.80","Expired","10/01/2023","09/30/2024","jim@700broadway1891llc.com",
"WEITZ & LUXENBERG","WEITZ & LUXENBERG - MAINTENANCE","23-073123-700NY","$24,112.80","Active","10/01/2024","09/30/2025","jim@700broadway1891llc.com",
"HONEYWELL INC.","MOUNT VERNON SCHOOL DISTRICT","23-040522-165NY","$23,976.25","Expired","10/30/2022","01/30/2023","cara.marino@honeywell.com","PRICE PER QUARTER"
"HEALTHYLINE","HEALTHYLINE - MAINTENANCE","23-122222-515NY-3Y","$23,724.00","Active","02/01/2023","01/31/2026",,
"NORTH ARLINGTON BOARD OF EDUCATION","NORTH ARLINGTON BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","24-1218-222NJ","$22,880.00","Expired","01/01/2025","06/30/2025",,
"CITY OF JERSEY CITY","CITY OF JERSEY CITY POLICE CENTRAL COMMUNICATIONS -  MAINTENANCE","25-010125-75NJ","$22,669.00","Active","06/01/2025","05/31/2026",,
"META SURGICAL ASSOCIATES, LLC","META SURGICAL (CONTROLS & HVAC) - Maintenance","22-091222-6NJ","$22,590.00","Expired","09/01/2022","08/31/2023","metasurgical@outlook.com",
"RASI LABORATORIES","Rasi Laboratories - Maintenance","23-071823-320NJ","$22,125.00","Expired","12/01/2023","11/30/2024","adrian.balmater@rasilabs.com",
"SODEXO OPERATIONS, LLC","787 7TH AVE (27, 28, 29, 32/33) - MAINTENANCE","22-060822-787NY","$21,833.33","Expired","07/01/2022","06/30/2023","tayler.chambers@sodexo.com","Jersey City & some 787 floors removed on 7/1/22 renewal, dropping annual price to 21,833.33 (from 31,250.00)"
"SODEXO OPERATIONS, LLC","787 7TH AVE (27, 28, 29, 32/33) - MAINTENANCE","23-060623-787NY","$21,833.33","Active","07/01/2023","06/30/2024","tayler.chambers@sodexo.com","Jersey City & some 787 floors removed on 7/1/22 renewal, dropping annual price to 21,833.33 (from 31,250.00)"
"CITY OF JERSEY CITY","CITY OF JERSEY CITY 1 & 4 - MAINTENANCE","25-010125-1&4NJ","$21,664.00","Active","06/01/2025","05/31/2026",,
"RWJ BARNABAS HEALTH, INC.","BAYONNE EMERGENCY CARE - MAINTENANCE","20-1231-519NJ","$21,582.00","Expired","01/01/2021","12/31/2023","diane.flakker@rwjbh.org",
"COUNTY OF MIDDLESEX (ESCNJ)","COUNTY OF MIDDLESEX (ESCNJ) - MAINTENANCE","24-1213-570NJ","$21,462.00","Active","01/01/2025","12/31/2025",,
"42 TRINITY PLACE CONDOMINIUM","42 TRINITY PLACE CONDOMINIUM - MAINTENANCE","25-033125-42NY","$21,400.00","Active","04/01/2025","03/31/2026",,
"RASI LABORATORIES","320 HALF ACRE ROAD - Maintenance","22-081022-320NJ","$21,225.00","Expired","09/01/2022","08/31/2023","adrian balmater@rasilabs.com",
"SUPREME HEATING&AIR CONDITIONING INC.","SUPREME HEATING&AIR CONDITIONING INC. - MAINTENANCE","23-012023-701NJ","$21,201.00","Expired","04/01/2023","03/31/2024",,"Monthly"
"MOUNTAIN LAKES BOARD OF EDUCATION","MOUNTAIN LAKES BOARD OF EDUCATION - PNEUMATICS MAINTENANCS","24-0506-NJ","$21,120.00","Expired","07/01/2024","06/30/2025",,
