SOP_ID,Title,System_Family,Vendor_Flavor,Phase,Service_Tiers,Estimated_Duration_min,Audience_Level,Prerequisites,Safety,Goal,UI_Navigation,Step_List_CORE,Step_List_ASSURE,Step_List_GUARDIAN,Verification_Steps,Rollback_Steps,Best_Practices,Tools,Hyperlinks,Owner,Last_Updated,Version
SOP_A005,History Database Maintenance,Niagara,,Prep,ASSURE,,2,C001,Verify critical history data is backed up before purging,Perform: History Database Maintenance,Station → Config → History → Database Maintenance,"1. Check history database size
2. 2. Review retention policies
3. 4. Clear old records per policy
4. 5. Verify space recovered
5. 6. Check history collection rates
6. 8. Document purge activities","1. 3. Export critical history data
2. 7. Optimize history intervals",,,,,"Workbench, External storage","EC‑Net 4 Histories Guide (Niagara 4 derivative): https://docs-be.distech-controls.com/bundle/Histories-EC-Net4_UG/raw/resource/enus/Histories%20EC-Net4_UG.pdf | Video – Export Niagara 4 Histories to CSV: https://www.youtube.com/watch?v=mjLNOBrE2bo | Niagara Forum Tech Troubleshooting (Engine Hogs, ~6000 histories): https://www.tridium.com/content/dam/tridium/en/documents/niagara-forum-2023/NF23-Technical-Troubleshooting-Niagara.pdf",,8/26/2025,v2.2
SOP_A006,Security Certificate Check,Niagara,,Deep_Dive,ASSURE,,2,C007,Maintain secure communications during certificate updates,Perform: Security Certificate Check,Platform Admin → Certificate Manager,"1. 5. Check allowed hosts list
2. 7. Test secure connections",,"1. Open Certificate Manager
2. 2. Check certificate expiration dates
3. 3. Renew expiring certificates
4. 4. Verify certificate trust chain
5. 6. Remove obsolete certificates
6. 8. Document certificate status",,,,"Workbench, Certificate documentation",Niagara 4 Hardening Guide (2025): https://www.tridium.com/content/dam/tridium/en/documents/document-lists/niagara/tri-Niagara4-Hardening-Guide-en-2025.pdf | Passphrase reset/how‑to (Niagara 4): https://help.onesight.solutions/kb/niagara4-passphrase-reset-windows/,,8/26/2025,v2.2
SOP_A007,Energy Trend Analysis,Niagara,,Prep,ASSURE,,2,A005,Consider building occupancy when analyzing energy patterns,Perform: Energy Trend Analysis,History → Trend Charts → Analysis,"1. 2. Compare to previous periods
2. 3. Identify unusual patterns
3. 6. Review setback effectiveness
4. 7. Calculate efficiency metrics
5. 8. Prepare recommendations","1. Generate energy consumption trends
2. 4. Check equipment runtime trends
3. 5. Analyze simultaneous heating/cooling",,,,,"Workbench, Spreadsheet software","EC‑Net 4 Histories Guide (Niagara 4 derivative): https://docs-be.distech-controls.com/bundle/Histories-EC-Net4_UG/raw/resource/enus/Histories%20EC-Net4_UG.pdf | Video – Export Niagara 4 Histories to CSV: https://www.youtube.com/watch?v=mjLNOBrE2bo | Niagara Forum Tech Troubleshooting (Engine Hogs, ~6000 histories): https://www.tridium.com/content/dam/tridium/en/documents/niagara-forum-2023/NF23-Technical-Troubleshooting-Niagara.pdf",,8/26/2025,v2.2
SOP_G001,PID Loop Tuning & Optimization,Niagara,,Deep_Dive,GUARDIAN,,2,A004,Monitor critical parameters during tuning process,Perform: PID Loop Tuning & Optimization,WireSheet → PID Parameters → Tuning,"1. Identify loops for optimization
2. 2. Document current parameters
3. 3. Implement systematic tuning:
4. a) Set I and D to minimum
5. b) Increase P until oscillation
6. c) Back off P by 50%
7. e) Add D only if needed
8. 4. Test across operating range
9. 5. Verify stability
10. 6. Document final parameters",1. d) Increase I to remove offset,,,,,"Workbench, Tuning software, Reference guides",,,8/26/2025,v2.2
SOP_G002,Advanced Analytics Configuration,Niagara,,Prep,GUARDIAN,,2,A007,Verify analytics rules don't create false alarms,Perform: Advanced Analytics Configuration,Analytics → FDD Rules → Setup,"1. Review existing analytics rules
2. 2. Check rule performance/accuracy
3. 4. Add new FDD rules:
4. a) Simultaneous heating/cooling
5. b) Equipment cycling
6. c) Sensor drift detection
7. 5. Configure notifications
8. 6. Test rule triggers
9. 7. Document configuration",1. 3. Adjust thresholds as needed,,,,,"Workbench, Analytics module",,,8/26/2025,v2.2
SOP_G003,Security Vulnerability Assessment,Niagara,,Deep_Dive,GUARDIAN,,2,A006,Maintain system integrity during security assessment,Perform: Security Vulnerability Assessment,Platform Admin → Security Dashboard,"1. 2. Review vulnerability report
2. 3. Check for default passwords
3. 4. Verify encryption settings
4. 6. Check for unnecessary services
5. 7. Test penetration resistance
6. 8. Create remediation plan",,"1. Run security assessment tool
2. 5. Review firewall rules",,,,"Security scanner, Vulnerability checklist",Niagara 4 Hardening Guide (2025): https://www.tridium.com/content/dam/tridium/en/documents/document-lists/niagara/tri-Niagara4-Hardening-Guide-en-2025.pdf | Passphrase reset/how‑to (Niagara 4): https://help.onesight.solutions/kb/niagara4-passphrase-reset-windows/,,8/26/2025,v2.2
SOP_G004,Network Performance Optimization,Niagara,,Deep_Dive,GUARDIAN,,2,A001,Maintain network stability during optimization,Perform: Network Performance Optimization,Diagnostics → Network Statistics → Analysis,"1. 2. Check bandwidth utilization
2. 3. Identify bottlenecks
3. 5. Implement COV where possible
4. 7. Test optimizations
5. 8. Document improvements",1. 4. Optimize polling rates,"1. Analyze network traffic patterns
2. 6. Balance network loads",,,,"Network analyzer, Performance monitor",,,8/26/2025,v2.2
SOP_G005,Graphics & HMI Enhancement,Niagara,,Wrap_Up,GUARDIAN,,2,G002,Ensure critical system information remains easily accessible,Perform: Graphics & HMI Enhancement,Graphics → Px Views → User Training,"1. Review existing graphics
2. 2. Identify enhancement needs
3. 4. Add navigation improvements
4. 5. Implement mobile compatibility
5. 6. Create custom dashboards
6. 7. Train users on new features
7. 8. Document changes",1. 3. Update graphics for clarity,,,,,"Px Editor, Graphics tools",,,8/26/2025,v2.2
SOP_G006,Preventive Maintenance Scheduling,Niagara,,Deep_Dive,GUARDIAN,,2,G001,Ensure maintenance schedules don't compromise system reliability,Perform: Preventive Maintenance Scheduling,Programs → Maintenance Scheduler,"1. Review equipment maintenance needs
2. 2. Create PM schedules in BAS
3. 3. Configure maintenance alarms
4. 4. Set up runtime tracking
5. 5. Create maintenance reports
6. 6. Integrate with CMMS if available
7. 7. Train staff on system
8. 8. Document procedures",,,,,,"Workbench, Maintenance templates",,,8/26/2025,v2.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
