simpro_customer_id,company_name,site_name,service_tier,site_address,bms_platform,contract_status,contract_number,contract_value,primary_contact,contact_phone,contact_email
1050,BROOKLYN BOTANIC GARDEN,BROOKLYN BOTANIC GARDEN,CORE,"1000 WASHINGTON AVENUE C/O GARDINER & THEOBALD INC. (G&T), BROOKLYN, NY, 11225",Other,,,0,,,
804,"EAST 77TH OWNERS, INC.","EAST 77TH OWNERS, INC.",CORE,"435 EAST 77TH STREET, NEW YORK, NY, 10075",Other,,,0,,,
180,DELL-TECH INC.,DELL-TECH INC.,CORE,"930 NEW YORK AVE., TRENTON, NJ, 8638",Other,,,0,,,
100,BRONX HEALTHCARE,BRONX HEALTHCARE,CORE,"1650 GRAND CONCOURSE, BRONX, NY, 10457",Other,,,0,,,
172,D.P.  WOLFF INC.,D.P.  WOLFF INC.,CORE,"2 WESTCHESTER PLAZA, SUITE 160, ELMSFORD, NY, 10523",Other,,,0,,,
832,GARDNER PUBLIC SCHOOLS,GARDNER PUBLIC SCHOOLS,CORE,"95 PLEASANT STREET, GARDNER, MA, 1440",Other,,,0,,,
286,HARBOUR MECHANICAL CORP.,HARBOUR MECHANICAL CORP.,CORE,"1332 CLINTON STREET, HOBOKEN, NJ, 7030",Other,,,0,,,
38,AIR SYSTEMS MAINTENANCE INC.,AIR SYSTEMS MAINTENANCE INC.,CORE,"718 JEFFERSON AVENUE, KENILWORTH, NJ, 7033",Other,expired,24-0223-777NY,0,,,
148,COMPUTERCOOL ICEAGE MECHANICAL CORP,COMPUTERCOOL ICEAGE MECHANICAL CORP,CORE,"58-75 57TH ROAD, MASPETH, NY, 11378",Other,,,0,,,
113,"C. DOUGHERTY & CO., INC.","C. DOUGHERTY & CO., INC.",CORE,"7 WASHINGTON AVE., PATERSON, NJ, 7503",Other,,,0,,,
964,CHUGACH CONSOLIDATED SOLUTIONS LLC,CHUGACH CONSOLIDATED SOLUTIONS LLC,CORE,"3800 CENTERPOINT DR, SUITE #800, ANCHORAGE, AK, 99503",Other,,,0,,,
79,BLOOMFIELD JOINT VENTURE,BLOOMFIELD JOINT VENTURE,CORE,"76 SOUTH ORANGE AVENUE, SOURTH ORANGE, NJ, 7079",Other,expired,22-040422-650NJ,0,,,cary@symhellerdev.com
223,"EPIC MECHANICAL CONTRACTORS, LLC","EPIC MECHANICAL CONTRACTORS, LLC",CORE,"76-78 MALL DRIVE, COMMACK, NY, 11725",Other,,,0,,,
251,FREDON TOWNSHIP B.O.E. (ESCNJ),FREDON TOWNSHIP B.O.E. (ESCNJ),CORE,"459 ROUTE 94, NEWTON, NJ, 7860",Other,,,0,,,
11,"220 CAP, LLC","220 CAP, LLC",CORE,"260 CENTENNIAL AVE., PISCATAWAY, NJ, 8854",Other,,,0,,,
766,"CCI CONSTRUCTION, INC.","CCI CONSTRUCTION, INC.",CORE,"70 CHESTNUT RIDGE ROAD, MONTVALE, NJ, 7645",Other,,,0,,,www.cci-construction.com
5,10 SULLIVAN STREET CONDOMINIUM,10 SULLIVAN STREET CONDOMINIUM,CORE,"C/O SOLSTICE RESIDENTIAL GROUP LLC, NEW YORK, NY, 10004",Other,active,23-021323-10NY,5407,,,jimmy10sullivan@gmail.com
827,35 WEST 36TH STREET CONDOMINIUM,35 WEST 36TH STREET CONDOMINIUM,CORE,"35 WEST 36TH STREET, NEW YORK, NY, 10018",Other,,,0,,,
169,CWP- NYC PROPERTY MGT SERVICES,CWP- NYC PROPERTY MGT SERVICES,CORE,"787 SEVENTH AVENUE, NEW YORK, NY, 10019",Other,active,23-120122-787NY,34900,,,pnaughton@cwp-ms.com
1048,"CORPORATE COMMONS THREE, LLC","CORPORATE COMMONS THREE, LLC",CORE,"1110 SOUTH AVE, STATEN ISLAND, NY, 10314",Other,active,25-0428-1441NY-3LE,27530.16,,,
58,BELL WORKS,BELL WORKS,GUARDIAN,"101 CRAWFORDS CORNER ROAD, HOLMDEL, NJ, 7733",Other,active,23-040123-101NJ,125000,,,facilities@bellworks.com
10,2 RECTOR STREET(NY)LLC,2 RECTOR STREET(NY)LLC,CORE,"JLL MANAGEMENT OFFICE,, NEW YORK, NY, 10006",Other,expired,22-050122-101NY,0,,,christopher.gildea@am.jll.com
951,FRANKLIN BOROUGH BOARD OF EDUCATION,FRANKLIN BOROUGH BOARD OF EDUCATION,CORE,"50 WASHINGTON AVE, FRANKLIN, NJ, 7416",Other,active; expired,24-0506-50NJ; 25-0506-50NJ,18480,,,
301,HOWELL BOARD OF EDUCATION (ESCNJ),HOWELL BOARD OF EDUCATION (ESCNJ),CORE,"3026 YELLOW BROOK ROAD, FARMINGDALE, NJ, 7727",Other,,,0,,,
811,"COASTAL AIR CONDITIONING, INC.","COASTAL AIR CONDITIONING, INC.",CORE,"6 PHYLLIS STREET, HAZLET, NJ, 7730",Other,,,0,,,
1064,Clayco Inc.,Clayco Inc.,CORE,"2398 East Camelback Road, Phoenix, AZ, 85016",Other,,,0,,,
902,ALEXANDRIA TOWNSHIP BOE (ESCNJ),ALEXANDRIA TOWNSHIP BOE (ESCNJ),CORE,"557 COUNTY ROAD 513, PITTSTOWN, NJ, 8867",Other,active,23-1212-557NJ,5071.5,,,
224,"EPIC MECHANICAL, INC.","EPIC MECHANICAL, INC.",CORE,"3320 ROUTE 66, NEPTUNE, NJ, 7753",Other,,,0,,,
56,ATLANTIC CITY ELECTRIC COMPANY,ATLANTIC CITY ELECTRIC COMPANY,CORE,"92 PEOPLES PLAZA, NEWARK, DE, 19702",Other,,,0,,,
849,HAMILTON TOWNSHIP BOE (ESCNJ),HAMILTON TOWNSHIP BOE (ESCNJ),CORE,"90 PARK AVENUE, HAMILTON, NJ, 8690",Other,,,0,,,
9,180 RIVER JV LLC,180 RIVER JV LLC,CORE,"c/o SAXUM REAL ESTATE - 359 SPRINGFIELD AVE, FL. 2, SUMMIT, NJ, 7901",Other,,,0,,,
967,"ESTOCK PIPING CO., LLC","ESTOCK PIPING CO., LLC",CORE,"569 CHESTERFIELD-ARNEYTOWN ROAD, CHESTERFIELD, NJ, 8515",Other,,,0,,,
874,CRESSKILL BOARD OF EDUCATION (ESCNJ),CRESSKILL BOARD OF EDUCATION (ESCNJ),CORE,"15 BROOKSIDE AVE, CRESSKILL, NJ, 7626",Other,,,0,,,tschillaci@cresskillnj.net
95,BRIAN TREMATORE PLUMBING & HEATING,BRIAN TREMATORE PLUMBING & HEATING,CORE,"5 DANIEL ROAD EAST, FAIRFIELD, NJ, 7004",Other,,,0,,,
821,GRAMERCY SQUARE CONDOMINIUM,GRAMERCY SQUARE CONDOMINIUM,CORE,"25 EAST 21ST STREET
c/o DOUGLAS ELLIMAN PROPERTY MANAGEMENT, New York, NY, 10010",Other,,,0,,,
212,"EMY SOLUTIONS, LLC","EMY SOLUTIONS, LLC",CORE,"19 SUMMERFIELD BLVD., DAYTON, NJ, 8810",Other,,,0,,,
208,EMCOR SERVICES NY/NJ,EMCOR SERVICES NY/NJ,CORE,"245 Newtown Road, Suite 305, Plainview, NY, 11803",Other,,,0,,,
306,"I HEAT AND AIR MECHANICAL CONTRACTING, I","I HEAT AND AIR MECHANICAL CONTRACTING, I",CORE,"100 FAIRCHILD AVE., PLAINVIEW, NY, 11803",Other,,,0,,,
860,FRANKOSKI CONSTRUCTION,FRANKOSKI CONSTRUCTION,CORE,"314 DODD STREET, EAST ORANGE, NJ, 7017",Other,,,0,,,
321,JACKSON BOARD OF EDUCATION (ESCNJ),JACKSON BOARD OF EDUCATION (ESCNJ),CORE,"151 DON CONNER BLVD., JACKSON, NJ, 8527",Other,,,0,,,
1029,Clean Kitchen Food,Clean Kitchen Food,CORE,,Other,,,0,,,
175,DCO ENERGY,DCO ENERGY,CORE,"5429 HARDING HWY, MAYS LANDING, NJ, 8330",Other,,,0,,,
1067,GreenGen,GreenGen,CORE,"8120 Woodmont Avenue
Suite 350, Bethesda, MD, 20814",Other,,,0,,,
48,"AMCO ENTERPRISES, INC.","AMCO ENTERPRISES, INC.",CORE,"600 SWENSON DRIVE, KENILWORTH, NJ, 7033",Other,,,0,,,
751,APEX MECHANICAL CORP.,APEX MECHANICAL CORP.,CORE,"2800 WEBSTER AVENUE, NEW YORK, NY, 10458",Other,,,0,,,mikeg@apexmechcorp.com
16,"401 COLUMBUS HOLDINGS, LLC","401 COLUMBUS HOLDINGS, LLC",CORE,"401 COLUMBUS AVE. LOWER LEVEL, VALHALLA, NY, 10595",Other,,,0,,,
203,"ECOSYSTEM ENERGY SERVICES USA, INC.","ECOSYSTEM ENERGY SERVICES USA, INC.",CORE,"462 7TH AVENUE, NEW YORK, NY, 10018",Other,,,0,,,
911,ARAMARK FACILITIES MANAGEMENT,ARAMARK FACILITIES MANAGEMENT,CORE,"2400 MARKET STREET, PHILADELPHIA, PA, 19103",Other,active,24-042524-383NJ,49806,,,
93,BR FRIES AND ASSOCIATES LLC,BR FRIES AND ASSOCIATES LLC,CORE,"34 WEST 32ND ST., 7TH FL, NEW YORK, NY, 10001",Other,,,0,,,
829,"ENVIROCON, LLC","ENVIROCON, LLC",CORE,"83 Canada Goose Drive, Hackettstown, NJ, 7840",Other,,,0,,,az@enviroconusa.com
65,BAM MECHANICAL CORP,BAM MECHANICAL CORP,CORE,"26 CHESTNUT RIDGE ROAD, ARMONK, NY, 10504",Other,,,0,,,
219,"ENTERIS BIOPHARMA, INC.","ENTERIS BIOPHARMA, INC.",CORE,"83 FULTON STREET, BOONTON, NJ, 07005-1909",Other,active; expired,22-041122-83NJ; 23-053023-83NJ; 24-0524-83NJ; 25-0520-83NJ,8774,,,pshields@enterisbiopharma.com
822,EDISON PLAZA,EDISON PLAZA,CORE,"10 PARSONAGE ROAD, EDISON, NJ, 8837",Other,,,0,,,
141,COASTAL REFRIGERATION CORP.,COASTAL REFRIGERATION CORP.,CORE,"1016 STATE ROUTE 33, FREEHOLD, NJ, 7728",Other,,,0,,,
1051,LANDCO CONSTRUCTION,LANDCO CONSTRUCTION,CORE,,Other,,,0,,,
168,"CUSHMAN & WAKEFIELD, INC. (650 FIFTH)","CUSHMAN & WAKEFIELD, INC. (650 FIFTH)",CORE,"CUSHMAN & WAKEFIELD, INC., NEW YORK, NY, 10019-6108",Other,,,0,,,
918,"CON EDISON SOLUTIONS, INC.","CON EDISON SOLUTIONS, INC.",CORE,"3405 W. DR. MARTIN L. KING JR. BLVD. SUITE 101, TAMPA, FL, 33607",Other,,,0,,,
925,JOHN F. KENNEDY INTERNATIONAL AIRPORT,JOHN F. KENNEDY INTERNATIONAL AIRPORT,CORE,,Other,,,0,,,
62,B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ),B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ),CORE,"DISTRIC NO. 1, LITTLE FALLS, NJ, 7424",Other,active,12507,11754,,,
66,"BARHAM MECHANICAL GROUP, LLC","BARHAM MECHANICAL GROUP, LLC",CORE,"4239 HIGHWAY 33, TINTON FALLS, NJ, 7753",Other,,,0,,,
189,DUMONT MECHANICAL,DUMONT MECHANICAL,CORE,"2048 ROUTE 31, GLEN GARDNER, NJ, 8826",Other,,,0,,,
246,FORT LEE PUBLIC SCHOOLS,FORT LEE PUBLIC SCHOOLS,CORE,"231 MAIN STREET, 3RD FLOOR, FORT LEE, NJ, 7024",Other,,,0,,,
311,INDEPENDENCE BORO SCHOOL DISTRICT (ESCNJ),INDEPENDENCE BORO SCHOOL DISTRICT (ESCNJ),CORE,"421 5TH STREET, INDEPENDENCE, NJ, 7838",Other,,,0,,,
972,"ATRIA BUILDERS, LLC","ATRIA BUILDERS, LLC",CORE,"158-13 72ND AVENUE, SUITE 2D, FLUSHING, NY, 11365",Other,,,0,,,
817,Cushman & Wakefield (650 College),Cushman & Wakefield (650 College),CORE,"650 College Road East, Princeton, NJ, 8540",Other,,,0,,,
330,J&T ELECTRIC CORP.,J&T ELECTRIC CORP.,CORE,"86-05 103RD AVE., OZONE PARK, NY, 11417",Other,,,0,,,
943,HARDYSTON BOARD OF EDUCATION,HARDYSTON BOARD OF EDUCATION,CORE,"183 WHEATSWORTH ROAD, HAMBURG, NJ, 7416",Other,active; expired,24-042324-289NJ; 25-021825-289NJ,10296,,,
948,COUNTY OF MIDDLESEX (ESCNJ),COUNTY OF MIDDLESEX (ESCNJ),CORE,"PO BOX 661, NEW BRUNSWICK, NJ, 8903",Other,active,24-1213-570NJ,21462,,,michael.tonne@co.middlesex.nj.us
1062,Grumman Butkus Associates,Grumman Butkus Associates,CORE,,Other,,,0,,,
237,FALASCA MECHANICAL,FALASCA MECHANICAL,CORE,"3329 N. MILL ROAD, VINELAND, NJ, 8360",Other,,,0,,,
163,CRANFORD BOARD OF EDUCATION (ESCNJ),CRANFORD BOARD OF EDUCATION (ESCNJ),CORE,"132 THOMAS STREET, CRANFORD, NJ, 7016",Other,,,0,,,
42,AJ CELIANO INC.,AJ CELIANO INC.,CORE,"460 LUDLOW AVE, CRANFORD, NJ, 7016",Other,,,0,,,
278,HACKENSACK BOARD OF EDUCATION,HACKENSACK BOARD OF EDUCATION,CORE,"191 SECOND STREET, HACKENSACK, NJ, 7601",Other,active; expired,24-0822-191NJ,43680,,,
296,HJ MECHANICAL CORP.,HJ MECHANICAL CORP.,CORE,"64 BESSON STREET, FORDS, NJ, 8863",Other,,,0,,,
834,"608 COMPANY, LLC (c/o CBRE)","608 COMPANY, LLC (c/o CBRE)",CORE,"240 CENTRAL PARK SOUTH Bill Box # 01-205819-ILJ001, NEW YORK, NY, 10019",Other,,,0,,,
263,GIRL SCOUTS OF THE USA,GIRL SCOUTS OF THE USA,CORE,"AMERICA, BRIARCLIFF MANOR, NY, 10510",Other,active; expired,213581; 25-0313-550NY,11991,,,
870,150 EAST 57TH STREET LLC.,150 EAST 57TH STREET LLC.,CORE,"150 East 57th Street, New York, NY, 10022",Other,,,0,,,
1066,CYTOSORBENTS MEDICAL INC.,CYTOSORBENTS MEDICAL INC.,CORE,"305 COLLEGE ROAD EAST, PRINCETON, NJ, 8540",Other,,,0,,,
123,CEG SOLUTIONS LLC,CEG SOLUTIONS LLC,CORE,"4040 NORTH FAIRFAX DR,, ARLINGTON, VA, 22203",Other,,,0,,,
839,"LAROSA'S SERVICES HEATING & COOLING, INC","LAROSA'S SERVICES HEATING & COOLING, INC",CORE,"16 CHARLES STREET, LODI, NJ, 7644",Other,,,0,,,
120,CARTER MECHANICAL,CARTER MECHANICAL,CORE,"176 PENNSYLVANIA AVE., MALVERN, PA, 19355",Other,,,0,,,
170,"D&B BUILDING SOLUTIONS, LLC","D&B BUILDING SOLUTIONS, LLC",CORE,"444 JOHN F. KENNEDY DR. NORTH, BLOOMFIELD, NJ, 7003",Other,,,0,,,
323,JERSEY CITY MEDICAL CENTER,JERSEY CITY MEDICAL CENTER,CORE,"355 GRAND STREET, JERSEY CITY, NJ, 7302",Other,,,0,,,
1004,HARRISON TOWNSHIP BOE,HARRISON TOWNSHIP BOE,CORE,"120 N. MAIN STREET, MULLICA HILL, NJ, 8062",Other,active,25-0624-120NJ-3LE,6536,,,
265,GLEN RIDGE PUBLIC LIBRARY,GLEN RIDGE PUBLIC LIBRARY,CORE,"240 RIDGEWOOD AVE, GLEN RIDGE, NJ, 7028",Other,active; expired,23-120122-240NJ; 24-102023-240NJ-1Y-2,19300,,,jbagdon@glenridgelibrary.org
133,CITY OF JERSEY CITY,CITY OF JERSEY CITY,ASSURE,"13-15 LINDEN AVENUE EAST, JERSEY CITY, NJ, 7305",Other,active; expired,23-102822-1&4NJ; 24-010124-1&4NJ; 24-092724-75NJ3M; 25-010125-1&4NJ; 25-010125-1NJ; 25-010125-2NJ; 25-010125-75NJ,141936,,,
1008,540 WPR LLC,540 WPR LLC,CORE,"236 ERNSTON RD, PARLIN, NJ, 8859",Other,,,0,,,mj1realty2018@gmail.com
735,CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY),CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY),CORE,"141 WILLOUGHBY STREET, BROOKLYN, NY, 11201",Other,active; expired,23-020323-141NY; 25-010725-141NY,16271,,,
96,BRIDGEWATER-RARITAN REG DIST. (ESCNJ),BRIDGEWATER-RARITAN REG DIST. (ESCNJ),CORE,"836 NEWMANS LANE, BRIDGEWATER, NJ, 08807-0030",Other,,,0,,,
886,KENNEDY CATHOLIC HIGH SCHOOL (ESCNJ),KENNEDY CATHOLIC HIGH SCHOOL (ESCNJ),CORE,"1800 KENNEDY BLVD., JERSEY CITY, NJ, 7305",Other,,,0,,,
756,CUSTOM PRO SOLUTIONS,CUSTOM PRO SOLUTIONS,CORE,"2790 STATE ROUTE 13, NEW WOODSTOCK, NY, 13122",Other,,,0,,,
1063,195 COLUMBIA LLC,195 COLUMBIA LLC,CORE,"195 COLUMBIA TPKE, SUITE #100, FLORHAM PARK, NJ, 7932",Other,,,0,,,
137,CLIFTON BOARD OF EDUCATION,CLIFTON BOARD OF EDUCATION,CORE,"745 CLIFTON AVE., CLIFTON, NJ, 7013",Other,,,0,,,
302,HUNTERDON CENTRAL HIGH SCH DISTRICT (ESC),HUNTERDON CENTRAL HIGH SCH DISTRICT (ESC),CORE,"84 ROUTE 31, FLEMINGTON, NJ, 8822",Other,,,0,,,
776,BRAE BURN COUNTRY CLUB INC.,BRAE BURN COUNTRY CLUB INC.,CORE,"39 BRAE BRUN DRIVE, PURCHASE, NY, 10577",Other,,,0,,,
762,CRYSTAL & DIAMOND HOSPITALITY LLC,CRYSTAL & DIAMOND HOSPITALITY LLC,CORE,D/B/A ENVUE AUTOGRAPH COLLECTION,Other,,,0,,,
939,ATLAS CAPITAL GROUP,ATLAS CAPITAL GROUP,ASSURE,"200 PARK AVE, NEW YORK, NY, 10166",Other,active,23-050123-200NY,35000,,,operations@atlascapital.com
227,EQUITY RESIDENTIAL,EQUITY RESIDENTIAL,CORE,"ATTN:  ACCOUNTS PAYABLE, AUGUSTA, GA, 30901",Other,active; expired,23-092922-170NY; 23-101123-170NY,9690,,,pgospodarzec@eqr.com
121,CBRE PROPERTY MANAGEMENT,CBRE PROPERTY MANAGEMENT,CORE,"Billbox: 01-205819-IEV001 PO Box 2021, WARREN, MI, 48090-2021",Other,active,515116,39010,,,
1020,INDUSTRIAL SERVICES INC.,INDUSTRIAL SERVICES INC.,CORE,"600 W. UNIVERSITY PKWY, BALTIMORE, MD, 21210",Other,,,0,,,
1025,EAST HANOVER TOWNSHIP BOE (ESCNJ),EAST HANOVER TOWNSHIP BOE (ESCNJ),CORE,"20 SCHOOL AVENUE, EAST HANOVER, NJ, 7936",Other,active,25-0423-477NJ-1LE,3238,,,
344,LAMBERTVILLE CITY BOE (ESCNJ),LAMBERTVILLE CITY BOE (ESCNJ),CORE,"226 N. UNION STREET, LAMBERTVILLE, NJ, 8530",Other,,,0,,,
176,DE SESA ENGINEERING CO. INC.,DE SESA ENGINEERING CO. INC.,CORE,"83 DORSA AVE, LIVINGSTON, NJ, 7039",Other,,,0,,,
200,EASTAMPTON BOARD OF EDUCATION (ESCNJ),EASTAMPTON BOARD OF EDUCATION (ESCNJ),CORE,"1 STUDENT DRIVE, EASTAMPTON, NJ, 8060",Other,active; expired,24-0808-1NJ; 25-0519-1NJ-1LE,9355,,,
257,GDO CONTRACTING CORP,GDO CONTRACTING CORP,CORE,"10-34 44TH DRIVE, LONG ISLAND CITY, NY, 11101",Other,,,0,,,
966,HAMPTON TOWNSHIP BOARD OF EDUCATION,HAMPTON TOWNSHIP BOARD OF EDUCATION,CORE,"1 SCHOOL RD, NEWTON, NJ, 7860",Other,,,0,,,
115,CALDWELL WEST CALDWELL (ESCNJ),CALDWELL WEST CALDWELL (ESCNJ),ASSURE,"104 GRAY STREET, WEST CALDWELL, NJ, 07006-7696",Other,active,22-041122-104NJ,147625,,,cmarcell@cwcboe.org
127,CENTRALPACK ENGINEERING CORP,CENTRALPACK ENGINEERING CORP,CORE,"359 GREEN POND ROAD, HIBERNIA, NJ, 7842",Other,,,0,,,
970,CMIC CMO USA CORPORATION,CMIC CMO USA CORPORATION,CORE,"270 PROSPECT PLAINS RD, CRANBURY, NJ, 08512-3605",Other,,,0,,,
816,"CELLDEX THERAPEUTICS, INC.","CELLDEX THERAPEUTICS, INC.",CORE,"160 GOULD STREET, SUITE 202, NEEDHAM, MA, 2494",Other,active,25-0219-53NJ,6617,,,
144,COLUMBIA UNIVERSITY MEDICAL CENTER,COLUMBIA UNIVERSITY MEDICAL CENTER,CORE,"650 WEST 168TH STREET, NEW YORK, NY, 10032",Other,,,0,,,
976,"JAROS, BAUM & BOLLES CONSULTING ENGINEER",DRIFT,CORE,"75 NINTH AVENUE, NEW YORK, NY, 10011",Other,,,0,,,
910,CONNELL REAL ESTATE & DEVELOPMENT CO.,CONNELL REAL ESTATE & DEVELOPMENT CO.,CORE,"300 CONNELL DRIVE, BERKELEY HEIGHTS, NJ, 7922",Other,active; expired,23-031623-100NJ; 25-0228-100NJ,26193.02,,,
